Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2016-06-22,14.98,15.07,14.86,14.91,2640285.0,0.0,1.0,14.98,15.07,14.86,14.91,2640285.0
2016-06-21,14.99,15.065,14.88,14.89,3461828.0,0.0,1.0,14.99,15.065,14.88,14.89,3461828.0
2016-06-20,15.19,15.28,14.95,14.97,2492378.0,0.0,1.0,15.19,15.28,14.95,14.97,2492378.0
2016-06-17,14.98,15.295,14.9,15.07,4292302.0,0.0,1.0,14.98,15.295,14.9,15.07,4292302.0
2016-06-16,15.14,15.15,14.845,14.94,3161560.0,0.0,1.0,15.14,15.15,14.845,14.94,3161560.0
2016-06-15,15.09,15.505,15.075,15.11,4458154.0,0.0,1.0,15.09,15.505,15.075,15.11,4458154.0
2016-06-14,15.28,15.29,14.92,15.01,5294808.0,0.0,1.0,15.28,15.29,14.92,15.01,5294808.0
2016-06-13,15.49,15.52,15.25,15.28,3881141.0,0.0,1.0,15.49,15.52,15.25,15.28,3881141.0
2016-06-10,15.4,15.61,15.279,15.51,5144663.0,0.0,1.0,15.4,15.61,15.279,15.51,5144663.0
2016-06-09,16.1,16.1,15.87,15.96,2713118.0,0.0,1.0,16.1,16.1,15.87,15.96,2713118.0
2016-06-08,16.04,16.155,15.925,16.13,3576910.0,0.0,1.0,16.04,16.155,15.925,16.13,3576910.0
2016-06-07,15.85,16.23,15.81,16.01,5508503.0,0.0,1.0,15.85,16.23,15.81,16.01,5508503.0
2016-06-06,16.08,16.1,15.54,15.74,5728315.0,0.0,1.0,16.08,16.1,15.54,15.74,5728315.0
2016-06-03,15.9,16.08,15.76,16.02,3857490.0,0.0,1.0,15.9,16.08,15.76,16.02,3857490.0
2016-06-02,15.67,15.93,15.61,15.89,3009831.0,0.0,1.0,15.67,15.93,15.61,15.89,3009831.0
2016-06-01,15.64,15.84,15.525,15.64,3015381.0,0.0,1.0,15.64,15.84,15.525,15.64,3015381.0
2016-05-31,15.67,15.79,15.57,15.64,3523416.0,0.0,1.0,15.67,15.79,15.57,15.64,3523416.0
2016-05-27,15.37,15.66,15.3,15.65,3521590.0,0.0,1.0,15.37,15.66,15.3,15.65,3521590.0
2016-05-26,15.42,15.59,15.34,15.42,4827615.0,0.0,1.0,15.42,15.59,15.34,15.42,4827615.0
2016-05-25,15.51,15.51,15.09,15.36,6554784.0,0.0,1.0,15.51,15.51,15.09,15.36,6554784.0
2016-05-24,15.82,15.89,15.46,15.56,5915401.0,0.0,1.0,15.82,15.89,15.46,15.56,5915401.0
