Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2016-06-22,72.21,72.74,72.18,72.3,214198.0,0.0,1.0,72.21,72.74,72.18,72.3,214198.0
2016-06-21,72.0,72.28,71.59,72.01,190372.0,0.0,1.0,72.0,72.28,71.59,72.01,190372.0
2016-06-20,71.78,72.285,71.49,71.7,270042.0,0.0,1.0,71.78,72.285,71.49,71.7,270042.0
2016-06-17,71.28,71.67,70.62,70.96,365470.0,0.0,1.0,71.28,71.67,70.62,70.96,365470.0
2016-06-16,70.72,71.36,70.6,71.26,122790.0,0.0,1.0,70.72,71.36,70.6,71.26,122790.0
2016-06-15,71.74,71.74,71.0695,71.19,211708.0,0.0,1.0,71.74,71.74,71.0695,71.19,211708.0
2016-06-14,71.51,71.88,71.1549,71.68,204322.0,0.0,1.0,71.51,71.88,71.1549,71.68,204322.0
2016-06-13,72.24,72.49,71.45,71.46,216205.0,0.0,1.0,72.24,72.49,71.45,71.46,216205.0
2016-06-10,72.22,72.6,71.84,72.24,187909.0,0.0,1.0,72.22,72.6,71.84,72.24,187909.0
2016-06-09,72.51,72.96,71.96,72.67,174320.0,0.0,1.0,72.51,72.96,71.96,72.67,174320.0
2016-06-08,72.37,73.17,72.37,72.78,156361.0,0.0,1.0,72.37,73.17,72.37,72.78,156361.0
2016-06-07,72.76,72.97,72.48,72.49,230830.0,0.0,1.0,72.76,72.97,72.48,72.49,230830.0
2016-06-06,72.56,73.13,72.51,72.54,190404.0,0.0,1.0,72.56,73.13,72.51,72.54,190404.0
2016-06-03,72.9,72.92,72.19,72.69,161161.0,0.0,1.0,72.9,72.92,72.19,72.69,161161.0
2016-06-02,73.13,73.34,72.82,73.11,137404.0,0.0,1.0,73.13,73.34,72.82,73.11,137404.0
2016-06-01,73.2,73.43,72.82,73.23,236313.0,0.0,1.0,73.2,73.43,72.82,73.23,236313.0
2016-05-31,73.14,73.79,72.91,73.28,319257.0,0.0,1.0,73.14,73.79,72.91,73.28,319257.0
2016-05-27,72.45,73.32,72.13,73.25,320264.0,0.0,1.0,72.45,73.32,72.13,73.25,320264.0
2016-05-26,72.36,72.62,72.055,72.39,290829.0,0.0,1.0,72.36,72.62,72.055,72.39,290829.0
2016-05-25,72.55,72.85,72.32,72.34,174176.0,0.0,1.0,72.55,72.85,72.32,72.34,174176.0
2016-05-24,72.02,72.94,72.02,72.56,231795.0,0.0,1.0,72.02,72.94,72.02,72.56,231795.0
2016-05-23,71.85,72.18,71.58,71.85,170217.0,0.0,1.0,71.85,72.18,71.58,71.85,170217.0
2016-05-20,71.57,72.42,71.57,71.95,229500.0,0.0,1.0,71.57,72.42,71.57,71.95,229500.0
2016-05-19,71.29,71.66,70.86,71.35,159625.0,0.0,1.0,71.29,71.66,70.86,71.35,159625.0
2016-05-18,70.4,71.88,70.39,71.67,298856.0,0.0,1.0,70.4,71.88,70.39,71.67,298856.0
2016-05-17,71.22,71.5,70.121,70.56,200677.0,0.0,1.0,71.22,71.5,70.121,70.56,200677.0
2016-05-16,71.16,71.5,70.98,71.16,150433.0,0.0,1.0,71.16,71.5,70.98,71.16,150433.0
2016-05-13,71.59,71.89,71.01,71.17,150466.0,0.0,1.0,71.59,71.89,71.01,71.17,150466.0
2016-05-12,71.13,71.71,71.07,71.71,214297.0,0.0,1.0,71.13,71.71,71.07,71.71,214297.0
2016-05-11,71.44,72.0,71.01,71.02,178598.0,0.0,1.0,71.44,72.0,71.01,71.02,178598.0
2016-05-10,71.5,71.885,71.025,71.79,222412.0,0.0,1.0,71.5,71.885,71.025,71.79,222412.0
2016-05-09,70.46,71.39,70.275,71.17,194754.0,0.0,1.0,70.46,71.39,70.275,71.17,194754.0
2016-05-06,70.16,70.95,70.075,70.82,306207.0,0.0,1.0,70.16,70.95,70.075,70.82,306207.0
2016-05-05,69.86,70.37,69.8,70.23,280603.0,0.0,1.0,69.86,70.37,69.8,70.23,280603.0
2016-05-04,69.73,70.14,69.255,69.59,268874.0,0.0,1.0,69.73,70.14,69.255,69.59,268874.0
2016-05-03,69.13,70.34,68.99,70.2,307231.0,0.0,1.0,69.13,70.34,68.99,70.2,307231.0
2016-05-02,69.27,69.83,68.9,69.8,387024.0,0.0,1.0,69.27,69.83,68.9,69.8,387024.0
2016-04-29,68.6,69.17,68.25,69.11,322786.0,0.0,1.0,68.6,69.17,68.25,69.11,322786.0
2016-04-28,69.0,69.25,68.67,68.88,326308.0,0.0,1.0,69.0,69.25,68.67,68.88,326308.0
2016-04-27,69.55,69.9699,69.37,69.43,204604.0,0.0,1.0,69.55,69.9699,69.37,69.43,204604.0
2016-04-26,69.5,70.079,69.38,69.57,288358.0,0.0,1.0,69.5,70.079,69.38,69.57,288358.0
