Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2016-06-22,25.13,25.4,24.97,25.01,619774.0,0.0,1.0,25.13,25.4,24.97,25.01,619774.0
2016-06-21,25.07,25.17,24.91,25.06,532885.0,0.0,1.0,25.07,25.17,24.91,25.06,532885.0
2016-06-20,25.32,25.55,25.01,25.06,468077.0,0.0,1.0,25.32,25.55,25.01,25.06,468077.0
2016-06-17,24.91,25.28,24.8,25.05,1334079.0,0.0,1.0,24.91,25.28,24.8,25.05,1334079.0
2016-06-16,24.89,25.12,24.59,25.04,431806.0,0.0,1.0,24.89,25.12,24.59,25.04,431806.0
2016-06-15,25.17,25.22,24.91,24.93,544904.0,0.0,1.0,25.17,25.22,24.91,24.93,544904.0
2016-06-14,25.12,25.19,24.92,24.98,691389.0,0.0,1.0,25.12,25.19,24.92,24.98,691389.0
2016-06-13,25.8,25.91,25.13,25.18,553240.0,0.0,1.0,25.8,25.91,25.13,25.18,553240.0
2016-06-10,26.11,26.39,25.85,25.97,399798.0,0.0,1.0,26.11,26.39,25.85,25.97,399798.0
2016-06-09,26.36,26.48,26.16,26.29,373747.0,0.0,1.0,26.36,26.48,26.16,26.29,373747.0
2016-06-08,26.41,26.65,26.18,26.46,341049.0,0.0,1.0,26.41,26.65,26.18,26.46,341049.0
2016-06-07,26.35,26.624,26.33,26.38,658837.0,0.0,1.0,26.35,26.624,26.33,26.38,658837.0
2016-06-06,26.39,26.55,26.2,26.44,688413.0,0.0,1.0,26.39,26.55,26.2,26.44,688413.0
2016-06-03,26.56,26.5877,26.08,26.39,326298.0,0.0,1.0,26.56,26.5877,26.08,26.39,326298.0
2016-06-02,26.5,26.8,26.45,26.75,496783.0,0.0,1.0,26.5,26.8,26.45,26.75,496783.0
2016-06-01,26.48,26.76,26.13,26.67,715302.0,0.0,1.0,26.48,26.76,26.13,26.67,715302.0
2016-05-31,26.33,26.62,26.2939,26.52,493899.0,0.0,1.0,26.33,26.62,26.2939,26.52,493899.0
2016-05-27,26.24,26.5599,26.175,26.33,505759.0,0.0,1.0,26.24,26.5599,26.175,26.33,505759.0
2016-05-26,26.18,26.42,26.08,26.29,488650.0,0.0,1.0,26.18,26.42,26.08,26.29,488650.0
2016-05-25,26.27,26.62,26.18,26.24,425632.0,0.0,1.0,26.27,26.62,26.18,26.24,425632.0
2016-05-24,26.18,26.52,26.1,26.21,777532.0,0.0,1.0,26.18,26.52,26.1,26.21,777532.0
2016-05-23,26.65,26.73,25.99,26.16,592862.0,0.0,1.0,26.65,26.73,25.99,26.16,592862.0
2016-05-20,26.2,26.835,26.11,26.76,822884.0,0.0,1.0,26.2,26.835,26.11,26.76,822884.0
2016-05-19,26.28,26.49,25.595,26.08,720230.0,0.0,1.0,26.28,26.49,25.595,26.08,720230.0
2016-05-18,25.8,26.58,25.17,26.46,1424187.0,0.0,1.0,25.8,26.58,25.17,26.46,1424187.0
