Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2016-06-22,50.78,51.09,50.51,50.7,129282.0,0.0,1.0,50.78,51.09,50.51,50.7,129282.0
2016-06-21,50.88,50.88,50.39,50.64,112658.0,0.0,1.0,50.88,50.88,50.39,50.64,112658.0
2016-06-20,51.24,51.59,50.69,50.72,122237.0,0.0,1.0,51.24,51.59,50.69,50.72,122237.0
2016-06-17,51.6,51.6,50.57,50.76,265828.0,0.0,1.0,51.6,51.6,50.57,50.76,265828.0
2016-06-16,51.0,51.68,50.97,51.43,158334.0,0.0,1.0,51.0,51.68,50.97,51.43,158334.0
2016-06-15,52.42,52.85,51.44,51.45,91354.0,0.0,1.0,52.42,52.85,51.44,51.45,91354.0
2016-06-14,52.36,52.51,51.9,52.16,64293.0,0.0,1.0,52.36,52.51,51.9,52.16,64293.0
2016-06-13,53.13,53.58,52.46,52.59,73474.0,0.0,1.0,53.13,53.58,52.46,52.59,73474.0
2016-06-10,53.69,53.83,53.27,53.52,86558.0,0.0,1.0,53.69,53.83,53.27,53.52,86558.0
2016-06-09,54.08,54.92,53.16,53.89,70988.0,0.0,1.0,54.08,54.92,53.16,53.89,70988.0
2016-06-08,53.53,54.25,53.15,54.22,100397.0,0.0,1.0,53.53,54.25,53.15,54.22,100397.0
2016-06-07,53.37,54.3281,53.1,53.41,75455.0,0.0,1.0,53.37,54.3281,53.1,53.41,75455.0
2016-06-06,53.14,53.71,53.03,53.45,88121.0,0.0,1.0,53.14,53.71,53.03,53.45,88121.0
2016-06-03,53.27,53.855,52.39,53.13,61939.0,0.0,1.0,53.27,53.855,52.39,53.13,61939.0
2016-06-02,52.99,53.49,52.784,53.49,80048.0,0.0,1.0,52.99,53.49,52.784,53.49,80048.0
2016-06-01,52.4,53.44,52.4,53.36,136795.0,0.0,1.0,52.4,53.44,52.4,53.36,136795.0
2016-05-31,52.74,53.04,52.35,52.65,82603.0,0.0,1.0,52.74,53.04,52.35,52.65,82603.0
2016-05-27,52.32,53.6065,52.32,52.86,95049.0,0.22,1.1,52.32,53.6065,52.32,52.86,95049.0
2016-05-26,57.93,58.23,57.72,57.96,96250.0,0.0,1.0,52.445362060697,52.716958964171,52.255244228266,52.472521751045,105875.0
2016-05-25,58.35,58.87,57.6675,57.93,116566.0,0.0,1.0,52.82559772556,53.29636569158,52.207714770158,52.445362060697,128222.6
2016-05-24,57.77,58.63,57.68,58.35,126978.0,0.0,1.0,52.300510378845,53.079088168802,52.219031307803,52.82559772556,139675.8
2016-05-23,58.34,58.93,57.301,57.74,86422.0,0.0,1.0,52.816544495444,53.350685072275,51.875913886415,52.273350688498,95064.2
2016-05-20,57.83,58.68,57.83,58.5,125455.0,0.0,1.0,52.35482975954,53.124354319381,52.35482975954,52.961396177297,138000.5
2016-05-19,57.68,58.25,57.03,57.61,148357.0,0.0,1.0,52.219031307803,52.735065424402,51.630571350277,52.155658696993,163192.7
2016-05-18,57.46,58.41,57.39,58.1,170429.0,0.0,1.0,52.019860245256,52.879917106255,51.956487634445,52.599266972666,187471.9
2016-05-17,58.46,58.62,56.95,57.58,104025.0,0.0,1.0,52.925183256834,53.070034938686,51.558145509351,52.128499006645,114427.5
2016-05-16,58.62,59.17,57.935,58.72,110405.0,0.0,1.0,53.070034938686,53.567962595054,52.449888675755,53.160567239844,121445.5
