Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2016-06-22,35.33,35.56,34.99,35.07,38308.0,0.0,1.0,35.33,35.56,34.99,35.07,38308.0
2016-06-21,35.28,35.39,34.545,35.17,52395.0,0.0,1.0,35.28,35.39,34.545,35.17,52395.0
2016-06-20,35.33,35.85,35.04,35.12,61572.0,0.0,1.0,35.33,35.85,35.04,35.12,61572.0
2016-06-17,34.31,34.84,34.31,34.68,57995.0,0.0,1.0,34.31,34.84,34.31,34.68,57995.0
2016-06-16,34.22,34.31,33.53,34.23,37071.0,0.0,1.0,34.22,34.31,33.53,34.23,37071.0
2016-06-15,34.68,35.0,34.19,34.23,52325.0,0.0,1.0,34.68,35.0,34.19,34.23,52325.0
2016-06-14,36.16,36.35,34.23,34.48,151882.0,0.0,1.0,36.16,36.35,34.23,34.48,151882.0
2016-06-13,35.79,36.33,35.79,36.16,77087.0,0.26,1.0,35.79,36.33,35.79,36.16,77087.0
2016-06-10,36.64,36.83,36.31,36.35,41107.0,0.0,1.0,36.378429434377,36.567073036793,36.050785282812,36.090499725426,41107.0
2016-06-09,36.44,37.12,35.84,37.01,52107.0,0.0,1.0,36.179857221307,36.855002745744,35.584140582098,36.745788028556,52107.0
2016-06-08,36.37,36.95,36.34,36.59,64413.0,0.0,1.0,36.110356946733,36.686216364635,36.080571114772,36.328786381109,64413.0
2016-06-07,36.25,36.855,36.19,36.55,54300.0,0.0,1.0,35.991213618891,36.591894563427,35.93164195497,36.289071938495,54300.0
2016-06-06,35.81,36.73,35.64,36.38,43168.0,0.0,1.0,35.554354750137,36.467786930258,35.385568369028,36.120285557386,43168.0
2016-06-03,35.97,36.1739,35.3,35.89,60628.0,0.0,1.0,35.713212520593,35.915656891818,35.047995606809,35.633783635365,60628.0
2016-06-02,36.39,36.63,35.73,36.16,39829.0,0.0,1.0,36.13021416804,36.368500823723,35.474925864909,35.901856123009,39829.0
2016-06-01,36.0,36.5,35.61,36.5,38044.0,0.0,1.0,35.742998352554,36.239428885228,35.355782537068,36.239428885228,38044.0
2016-05-31,36.27,36.32,35.78,36.07,49782.0,0.0,1.0,36.011070840198,36.060713893465,35.524568918177,35.812498627128,49782.0
2016-05-27,36.17,36.43,35.83,36.16,34783.0,0.0,1.0,35.911784733663,36.169928610653,35.574211971444,35.901856123009,34783.0
2016-05-26,36.0,36.4,36.0,36.03,36780.0,0.0,1.0,35.742998352554,36.140142778693,35.742998352554,35.772784184514,36780.0
2016-05-25,36.23,36.5,36.0,36.08,33691.0,0.0,1.0,35.971356397584,36.239428885228,35.742998352554,35.822427237781,33691.0
2016-05-24,36.01,36.835,35.63,36.3,51531.0,0.0,1.0,35.752926963207,36.57203734212,35.375639758375,36.040856672158,51531.0
2016-05-23,35.27,36.04,35.15,35.89,39936.0,0.0,1.0,35.018209774849,35.782712795167,34.899066447007,35.633783635365,39936.0
2016-05-20,34.88,35.56,34.82,35.4,62391.0,0.0,1.0,34.630993959363,35.3061394838,34.571422295442,35.147281713344,62391.0
2016-05-19,36.08,36.08,34.73,34.8,108577.0,0.0,1.0,35.822427237781,35.822427237781,34.482064799561,34.551565074135,108577.0
2016-05-18,36.02,36.94,36.02,36.43,55466.0,0.0,1.0,35.762855573861,36.676287753981,35.762855573861,36.169928610653,55466.0
2016-05-17,36.58,36.755,36.0,36.02,95657.0,0.0,1.0,36.318857770456,36.492608456892,35.742998352554,35.762855573861,95657.0
2016-05-16,36.81,37.48,36.46,36.74,71715.0,0.0,1.0,36.547215815486,37.21243272927,36.199714442614,36.477715540912,71715.0
2016-05-13,37.11,37.86,36.55,36.84,66277.0,0.0,1.0,36.845074135091,37.589719934102,36.289071938495,36.577001647446,66277.0
2016-05-12,37.96,38.91,36.49,37.28,68626.0,0.0,1.0,37.689006040637,38.632224052718,36.229500274574,37.0138605162,68626.0
2016-05-11,42.1,42.25,38.1333,38.33,224597.0,0.0,1.0,41.799450851181,41.948380010983,37.861068863262,38.056364634816,224597.0
2016-05-10,41.67,45.48,41.25,43.5,129895.0,0.0,1.0,41.372520593081,45.155321252059,40.955518945634,43.189456342669,129895.0
2016-05-09,42.19,42.36,40.99,41.7,45397.0,0.0,1.0,41.888808347062,42.057594728171,40.697375068644,41.402306425041,45397.0
2016-05-06,41.65,42.29,41.65,42.08,47037.0,0.0,1.0,41.352663371774,41.988094453597,41.352663371774,41.779593629874,47037.0
2016-05-05,41.58,42.0,41.3,41.64,56602.0,0.0,1.0,41.283163097199,41.700164744646,41.005161998902,41.34273476112,56602.0
2016-05-04,41.22,41.9,40.82,41.66,69860.0,0.0,1.0,40.925733113674,41.600878638111,40.528588687534,41.362591982427,69860.0
2016-05-03,40.95,41.72,40.38,41.57,100185.0,0.0,1.0,40.65766062603,41.422163646348,40.091729818781,41.273234486546,100185.0
2016-05-02,40.77,41.96,40.03,41.28,71436.0,0.0,1.0,40.478945634267,41.660450302032,39.744228445909,40.985304777595,71436.0
2016-04-29,39.48,40.89,39.48,40.68,63309.0,0.0,1.0,39.198154859967,40.598088962109,39.198154859967,40.389588138386,63309.0
2016-04-28,39.39,39.61,39.05,39.47,39996.0,0.0,1.0,39.108797364086,39.327226798462,38.771224601867,39.188226249314,39996.0
2016-04-27,39.22,39.8,39.13,39.54,49528.0,0.0,1.0,38.940010982976,39.515870400879,38.850653487095,39.257726523888,49528.0
2016-04-26,38.27,39.77,38.1,39.51,62736.0,0.0,1.0,37.996792970895,39.486084568918,37.828006589786,39.227940691928,62736.0
2016-04-25,38.42,38.42,37.38,38.03,52534.0,0.0,1.0,38.145722130697,38.145722130697,37.113146622735,37.758506315211,52534.0
2016-04-22,37.46,38.52,37.45,38.42,32901.0,0.0,1.0,37.192575507963,38.245008237232,37.182646897309,38.145722130697,32901.0
2016-04-21,38.46,38.46,37.84,38.04,156118.0,0.0,1.0,38.185436573311,38.185436573311,37.569862712795,37.768434925865,156118.0
2016-04-20,37.64,38.56,37.25,38.29,94371.0,0.0,1.0,37.371290499725,38.284722679846,36.984074684239,38.016650192202,94371.0
2016-04-19,37.59,37.6584,37.13,37.53,51695.0,0.0,1.0,37.321647446458,37.389559143328,36.864931356398,37.262075782537,51695.0
2016-04-18,37.36,37.54,36.7101,37.45,40699.0,0.0,1.0,37.093289401428,37.272004393191,36.448028995058,37.182646897309,40699.0
2016-04-15,37.7,37.97,37.45,37.52,52880.0,0.0,1.0,37.430862163646,37.698934651291,37.182646897309,37.252147171884,52880.0
2016-04-14,38.38,38.38,37.48,37.75,74239.0,0.0,1.0,38.106007688083,38.106007688083,37.21243272927,37.480505216914,74239.0
2016-04-13,37.89,38.52,37.56,38.22,110925.0,0.0,1.0,37.619505766063,38.245008237232,37.291861614498,37.947149917628,110925.0
2016-04-12,37.45,38.18,37.4,37.76,60845.0,0.0,1.0,37.182646897309,37.907435475014,37.133003844042,37.490433827567,60845.0
2016-04-11,37.53,38.48,36.995,37.45,132375.0,0.0,1.0,37.262075782537,38.205293794618,36.730895112576,37.182646897309,132375.0
2016-04-08,37.6,38.64,37.28,37.42,58061.0,0.0,1.0,37.331576057111,38.364151565074,37.0138605162,37.152861065349,58061.0
2016-04-07,37.15,37.69,37.09,37.35,50984.0,0.0,1.0,36.884788577705,37.420933552993,36.825216913784,37.083360790774,50984.0
2016-04-06,37.18,37.76,36.94,37.46,64738.0,0.0,1.0,36.914574409665,37.490433827567,36.676287753981,37.192575507963,64738.0
2016-04-05,36.58,37.47,36.56,37.31,101976.0,0.0,1.0,36.318857770456,37.202504118616,36.299000549149,37.04364634816,101976.0
2016-04-04,37.67,38.03,36.9705,37.5,90189.0,0.0,1.0,37.401076331686,37.758506315211,36.706570016474,37.232289950577,90189.0
2016-04-01,37.37,37.87,37.24,37.51,125140.0,0.0,1.0,37.103218012081,37.599648544756,36.974146073586,37.24221856123,125140.0
2016-03-31,38.3,39.0,37.62,37.73,221259.0,0.0,1.0,38.026578802856,38.7215815486,37.351433278418,37.460647995607,221259.0
2016-03-30,40.0,40.0,37.26,38.13,95632.0,0.0,1.0,39.714442613948,39.714442613948,36.994003294893,37.857792421746,95632.0
2016-03-29,38.3,40.0,38.27,40.0,56512.0,0.0,1.0,38.026578802856,39.714442613948,37.996792970895,39.714442613948,56512.0
2016-03-28,38.8,39.13,37.765,38.26,75723.0,0.0,1.0,38.52300933553,38.850653487095,37.495398132894,37.986864360242,75723.0
2016-03-24,37.78,39.12,37.48,38.54,84522.0,0.0,1.0,37.510291048874,38.840724876442,37.21243272927,38.264865458539,84522.0
2016-03-23,37.79,38.43,37.31,38.09,81204.0,0.0,1.0,37.520219659528,38.155650741351,37.04364634816,37.818077979132,81204.0
2016-03-22,38.1,38.15,37.21,38.02,42602.0,0.0,1.0,37.828006589786,37.877649643053,36.944360241625,37.748577704558,42602.0
2016-03-21,37.52,38.43,37.16,38.18,62383.0,0.0,1.0,37.252147171884,38.155650741351,36.894717188358,37.907435475014,62383.0
2016-03-18,36.7,38.1819,36.67,37.48,92297.0,0.0,1.0,36.438001098298,37.909321911038,36.408215266337,37.21243272927,92297.0
2016-03-17,35.26,36.54,35.26,36.48,93463.0,0.0,1.0,35.008281164195,36.279143327842,35.008281164195,36.219571663921,93463.0
2016-03-16,35.57,36.17,34.9,35.55,58352.0,0.0,1.0,35.316068094454,35.911784733663,34.65085118067,35.296210873147,58352.0
2016-03-15,35.57,36.4,35.25,35.75,84186.0,0.0,1.0,35.316068094454,36.140142778693,34.998352553542,35.494783086216,84186.0
2016-03-14,35.66,36.54,35.22,36.17,142638.0,0.0,1.0,35.405425590335,36.279143327842,34.968566721582,35.911784733663,142638.0
2016-03-11,34.7,36.36,34.23,35.85,138207.0,0.0,1.0,34.4522789676,36.100428336079,33.985634266886,35.594069192751,138207.0
2016-03-09,32.77,32.77,32.0201,32.25,59536.0,0.0,1.0,32.536057111477,32.536057111477,31.791510598572,32.019769357496,59536.0
2016-03-08,32.45,32.97,32.04,32.5,75101.0,0.0,1.0,32.218341570566,32.734629324547,31.811268533773,32.267984623833,75101.0
2016-03-07,32.53,32.67,32.309,32.66,71602.0,0.0,1.0,32.297770455794,32.436771004942,32.078348160351,32.426842394289,71602.0
2016-03-04,32.8,33.52,32.6,32.73,31183.0,0.0,1.0,32.565842943438,33.280702910489,32.367270730368,32.496342668863,31183.0
2016-03-03,32.48,32.875,32.2,32.71,63879.0,0.0,1.0,32.248127402526,32.640307523339,31.970126304228,32.476485447556,63879.0
