Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2016-06-22,25.45,25.59,25.25,25.27,1240343.0,0.0,1.0,25.45,25.59,25.25,25.27,1240343.0
2016-06-21,25.61,25.61,25.13,25.4,1262409.0,0.0,1.0,25.61,25.61,25.13,25.4,1262409.0
2016-06-20,26.17,26.27,25.49,25.52,1048200.0,0.0,1.0,26.17,26.27,25.49,25.52,1048200.0
2016-06-17,25.57,25.87,25.49,25.79,1162439.0,0.0,1.0,25.57,25.87,25.49,25.79,1162439.0
2016-06-16,25.36,25.54,25.23,25.51,786151.0,0.0,1.0,25.36,25.54,25.23,25.51,786151.0
2016-06-15,25.68,25.869,25.51,25.54,602717.0,0.0,1.0,25.68,25.869,25.51,25.54,602717.0
2016-06-14,25.79,26.07,25.48,25.59,908007.0,0.0,1.0,25.79,26.07,25.48,25.59,908007.0
2016-06-13,26.55,26.74,25.87,25.9,1441323.0,0.0,1.0,26.55,26.74,25.87,25.9,1441323.0
2016-06-10,26.95,26.95,26.55,26.6,800802.0,0.0,1.0,26.95,26.95,26.55,26.6,800802.0
2016-06-09,27.1,27.3,26.935,27.11,934053.0,0.0,1.0,27.1,27.3,26.935,27.11,934053.0
2016-06-08,27.17,27.41,27.03,27.25,853489.0,0.0,1.0,27.17,27.41,27.03,27.25,853489.0
2016-06-07,26.89,27.305,26.75,27.16,708009.0,0.0,1.0,26.89,27.305,26.75,27.16,708009.0
2016-06-06,26.9,26.95,26.47,26.81,1164766.0,0.0,1.0,26.9,26.95,26.47,26.81,1164766.0
2016-06-03,27.13,27.28,26.795,26.89,1153761.0,0.0,1.0,27.13,27.28,26.795,26.89,1153761.0
2016-06-02,27.2,27.445,26.97,27.39,1243365.0,0.0,1.0,27.2,27.445,26.97,27.39,1243365.0
2016-06-01,26.67,27.295,26.575,27.25,971803.0,0.0,1.0,26.67,27.295,26.575,27.25,971803.0
2016-05-31,27.15,27.25,26.745,26.89,1299588.0,0.0,1.0,27.15,27.25,26.745,26.89,1299588.0
2016-05-27,27.03,27.33,27.03,27.09,892616.0,0.0,1.0,27.03,27.33,27.03,27.09,892616.0
