Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2016-06-22,42.22,42.48,41.46,41.48,89533.0,0.0,1.0,42.22,42.48,41.46,41.48,89533.0
2016-06-21,41.79,42.26,41.37,42.04,130622.0,0.0,1.0,41.79,42.26,41.37,42.04,130622.0
2016-06-20,41.72,42.045,41.1101,41.69,228362.0,0.0,1.0,41.72,42.045,41.1101,41.69,228362.0
2016-06-17,41.67,42.0,41.01,41.31,198021.0,0.0,1.0,41.67,42.0,41.01,41.31,198021.0
2016-06-16,42.28,42.32,41.47,41.77,107407.0,0.0,1.0,42.28,42.32,41.47,41.77,107407.0
2016-06-15,41.4,42.75,40.93,42.38,207864.0,0.0,1.0,41.4,42.75,40.93,42.38,207864.0
2016-06-14,42.12,42.63,41.28,41.4,147349.0,0.0,1.0,42.12,42.63,41.28,41.4,147349.0
2016-06-13,42.92,44.04,42.21,42.4,301993.0,0.0,1.0,42.92,44.04,42.21,42.4,301993.0
2016-06-10,41.14,43.025,40.88,42.96,471737.0,0.0,1.0,41.14,43.025,40.88,42.96,471737.0
2016-06-09,40.25,42.68,40.0,41.6,341391.0,0.0,1.0,40.25,42.68,40.0,41.6,341391.0
2016-06-08,35.5,40.25,35.5,39.93,586447.0,0.0,1.0,35.5,40.25,35.5,39.93,586447.0
2016-06-07,34.05,34.56,33.83,34.31,91551.0,0.0,1.0,34.05,34.56,33.83,34.31,91551.0
2016-06-06,34.26,34.61,33.93,34.1,66554.0,0.0,1.0,34.26,34.61,33.93,34.1,66554.0
2016-06-03,34.19,34.33,33.98,34.13,63617.0,0.0,1.0,34.19,34.33,33.98,34.13,63617.0
2016-06-02,34.21,34.32,33.98,34.18,44077.0,0.0,1.0,34.21,34.32,33.98,34.18,44077.0
2016-06-01,34.5,34.87,33.94,34.24,95747.0,0.0,1.0,34.5,34.87,33.94,34.24,95747.0
2016-05-31,34.24,34.81,34.24,34.7,81218.0,0.0,1.0,34.24,34.81,34.24,34.7,81218.0
2016-05-27,34.31,34.61,34.12,34.22,45177.0,0.0,1.0,34.31,34.61,34.12,34.22,45177.0
2016-05-26,34.59,34.78,34.16,34.38,71590.0,0.0,1.0,34.59,34.78,34.16,34.38,71590.0
2016-05-25,34.7,34.97,34.32,34.63,82687.0,0.0,1.0,34.7,34.97,34.32,34.63,82687.0
2016-05-24,34.28,34.76,34.28,34.56,61906.0,0.0,1.0,34.28,34.76,34.28,34.56,61906.0
2016-05-23,34.01,34.79,33.95,34.16,173393.0,0.0,1.0,34.01,34.79,33.95,34.16,173393.0
2016-05-20,33.57,34.31,33.57,34.06,53837.0,0.0,1.0,33.57,34.31,33.57,34.06,53837.0
2016-05-19,33.4,33.83,32.91,33.55,72627.0,0.0,1.0,33.4,33.83,32.91,33.55,72627.0
2016-05-18,33.7,34.03,33.31,33.49,69378.0,0.0,1.0,33.7,34.03,33.31,33.49,69378.0
2016-05-17,33.21,33.975,33.21,33.74,123669.0,0.0,1.0,33.21,33.975,33.21,33.74,123669.0
2016-05-16,32.93,33.56,32.88,33.42,89674.0,0.0,1.0,32.93,33.56,32.88,33.42,89674.0
2016-05-13,33.16,33.66,32.7,32.72,83570.0,0.0,1.0,33.16,33.66,32.7,32.72,83570.0
2016-05-12,33.87,34.09,33.33,33.36,70379.0,0.0,1.0,33.87,34.09,33.33,33.36,70379.0
2016-05-11,34.11,34.73,33.72,33.79,83047.0,0.0,1.0,34.11,34.73,33.72,33.79,83047.0
2016-05-10,33.9,34.38,33.73,34.29,91594.0,0.0,1.0,33.9,34.38,33.73,34.29,91594.0
2016-05-09,33.77,34.13,33.61,33.7,79578.0,0.0,1.0,33.77,34.13,33.61,33.7,79578.0
2016-05-06,33.67,34.08,33.53,33.92,106028.0,0.0,1.0,33.67,34.08,33.53,33.92,106028.0
2016-05-05,33.93,34.61,33.82,33.83,95487.0,0.0,1.0,33.93,34.61,33.82,33.83,95487.0
