Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2016-06-22,13.75,13.75,13.49,13.49,200128.0,0.0,1.0,13.75,13.75,13.49,13.49,200128.0
2016-06-21,13.65,13.735,13.45,13.66,197951.0,0.0,1.0,13.65,13.735,13.45,13.66,197951.0
2016-06-20,13.59,13.78,13.527,13.65,257872.0,0.0,1.0,13.59,13.78,13.527,13.65,257872.0
2016-06-17,13.27,13.63,13.22,13.31,315361.0,0.0,1.0,13.27,13.63,13.22,13.31,315361.0
2016-06-16,13.17,13.36,13.06,13.3,178329.0,0.0,1.0,13.17,13.36,13.06,13.3,178329.0
2016-06-15,13.27,13.46,13.21,13.26,141887.0,0.0,1.0,13.27,13.46,13.21,13.26,141887.0
2016-06-14,13.28,13.47,13.08,13.18,244420.0,0.0,1.0,13.28,13.47,13.08,13.18,244420.0
2016-06-13,13.6,13.69,13.24,13.34,206492.0,0.0,1.0,13.6,13.69,13.24,13.34,206492.0
2016-06-10,13.6,13.84,13.55,13.7,203565.0,0.0,1.0,13.6,13.84,13.55,13.7,203565.0
2016-06-09,13.85,13.94,13.55,13.78,338637.0,0.0,1.0,13.85,13.94,13.55,13.78,338637.0
2016-06-08,13.92,13.99,13.85,13.91,231417.0,0.0,1.0,13.92,13.99,13.85,13.91,231417.0
2016-06-07,14.01,14.035,13.82,13.9,270356.0,0.0,1.0,14.01,14.035,13.82,13.9,270356.0
2016-06-06,13.53,13.75,13.52,13.75,241325.0,0.0,1.0,13.53,13.75,13.52,13.75,241325.0
2016-06-03,13.54,13.56,13.37,13.52,214013.0,0.0,1.0,13.54,13.56,13.37,13.52,214013.0
2016-06-02,13.5,13.645,13.36,13.63,259155.0,0.0,1.0,13.5,13.645,13.36,13.63,259155.0
2016-06-01,13.23,13.56,13.2,13.55,289663.0,0.0,1.0,13.23,13.56,13.2,13.55,289663.0
2016-05-31,13.06,13.33,13.0,13.3,308063.0,0.0,1.0,13.06,13.33,13.0,13.3,308063.0
2016-05-27,12.88,13.14,12.82,13.11,234073.0,0.0,1.0,12.88,13.14,12.82,13.11,234073.0
2016-05-26,13.08,13.11,12.83,12.83,180275.0,0.0,1.0,13.08,13.11,12.83,12.83,180275.0
2016-05-25,12.94,13.13,12.92,13.01,387421.0,0.0,1.0,12.94,13.13,12.92,13.01,387421.0
2016-05-24,12.79,13.0,12.71,12.94,414223.0,0.0,1.0,12.79,13.0,12.71,12.94,414223.0
2016-05-23,12.6,12.68,12.52,12.55,165924.0,0.0,1.0,12.6,12.68,12.52,12.55,165924.0
2016-05-20,12.35,12.6,12.32,12.59,210907.0,0.0,1.0,12.35,12.6,12.32,12.59,210907.0
2016-05-19,12.31,12.34,12.08,12.26,195330.0,0.0,1.0,12.31,12.34,12.08,12.26,195330.0
2016-05-18,12.37,12.57,12.27,12.35,161864.0,0.0,1.0,12.37,12.57,12.27,12.35,161864.0
2016-05-17,12.53,12.72,12.35,12.42,223245.0,0.0,1.0,12.53,12.72,12.35,12.42,223245.0
2016-05-16,12.41,12.6399,12.33,12.54,192260.0,0.0,1.0,12.41,12.6399,12.33,12.54,192260.0
2016-05-13,12.48,12.6,12.31,12.38,180622.0,0.0,1.0,12.48,12.6,12.31,12.38,180622.0
2016-05-12,12.95,13.0,12.32,12.5,435290.0,0.0,1.0,12.95,13.0,12.32,12.5,435290.0
2016-05-11,12.49,13.07,12.49,12.94,339629.0,0.0,1.0,12.49,13.07,12.49,12.94,339629.0
2016-05-10,12.25,12.63,11.99,12.54,514016.0,0.0,1.0,12.25,12.63,11.99,12.54,514016.0
2016-05-09,12.53,12.64,12.3545,12.46,222534.0,0.0,1.0,12.53,12.64,12.3545,12.46,222534.0
2016-05-06,12.31,12.673,12.31,12.56,131372.0,0.0,1.0,12.31,12.673,12.31,12.56,131372.0
2016-05-05,12.45,12.7,12.35,12.35,226447.0,0.0,1.0,12.45,12.7,12.35,12.35,226447.0
2016-05-04,12.47,12.64,12.29,12.41,259581.0,0.0,1.0,12.47,12.64,12.29,12.41,259581.0
2016-05-03,12.75,12.79,12.37,12.53,251857.0,0.0,1.0,12.75,12.79,12.37,12.53,251857.0
2016-05-02,12.95,13.04,12.78,12.83,153140.0,0.0,1.0,12.95,13.04,12.78,12.83,153140.0
2016-04-29,12.88,13.0865,12.73,12.94,170464.0,0.0,1.0,12.88,13.0865,12.73,12.94,170464.0
2016-04-28,12.94,13.05,12.82,12.84,131751.0,0.0,1.0,12.94,13.05,12.82,12.84,131751.0
2016-04-27,13.03,13.18,13.0,13.05,169539.0,0.0,1.0,13.03,13.18,13.0,13.05,169539.0
2016-04-26,13.0,13.2,12.9,13.07,240908.0,0.0,1.0,13.0,13.2,12.9,13.07,240908.0
2016-04-25,12.97,13.0,12.71,12.84,220178.0,0.0,1.0,12.97,13.0,12.71,12.84,220178.0
2016-04-22,13.03,13.16,12.85,12.97,204070.0,0.0,1.0,13.03,13.16,12.85,12.97,204070.0
2016-04-21,13.06,13.17,12.9,13.07,198721.0,0.0,1.0,13.06,13.17,12.9,13.07,198721.0
2016-04-20,12.86,13.05,12.82,13.0,230374.0,0.0,1.0,12.86,13.05,12.82,13.0,230374.0
2016-04-19,12.69,12.892,12.69,12.83,149590.0,0.0,1.0,12.69,12.892,12.69,12.83,149590.0
2016-04-18,12.75,12.78,12.57,12.67,108270.0,0.0,1.0,12.75,12.78,12.57,12.67,108270.0
2016-04-15,12.66,12.81,12.62,12.77,175512.0,0.0,1.0,12.66,12.81,12.62,12.77,175512.0
2016-04-14,12.85,12.92,12.68,12.72,180239.0,0.0,1.0,12.85,12.92,12.68,12.72,180239.0
2016-04-13,12.55,12.96,12.49,12.82,207348.0,0.0,1.0,12.55,12.96,12.49,12.82,207348.0
2016-04-12,12.2,12.53,12.136,12.49,358386.0,0.0,1.0,12.2,12.53,12.136,12.49,358386.0
2016-04-11,12.2,12.45,12.19,12.19,283324.0,0.0,1.0,12.2,12.45,12.19,12.19,283324.0
2016-04-08,12.25,12.49,12.18,12.19,137945.0,0.0,1.0,12.25,12.49,12.18,12.19,137945.0
2016-04-07,12.08,12.29,12.06,12.15,173900.0,0.0,1.0,12.08,12.29,12.06,12.15,173900.0
2016-04-06,12.36,12.48,12.14,12.23,229681.0,0.0,1.0,12.36,12.48,12.14,12.23,229681.0
2016-04-05,12.33,12.53,12.26,12.36,193509.0,0.0,1.0,12.33,12.53,12.26,12.36,193509.0
2016-04-04,12.67,12.76,12.4,12.41,193927.0,0.0,1.0,12.67,12.76,12.4,12.41,193927.0
2016-04-01,12.47,12.73,12.45,12.66,227718.0,0.0,1.0,12.47,12.73,12.45,12.66,227718.0
2016-03-31,12.66,12.78,12.53,12.53,344007.0,0.0,1.0,12.66,12.78,12.53,12.53,344007.0
2016-03-30,12.86,13.03,12.63,12.64,208059.0,0.0,1.0,12.86,13.03,12.63,12.64,208059.0
2016-03-29,12.78,12.97,12.4327,12.95,332324.0,0.625,1.0,12.78,12.97,12.4327,12.95,332324.0
2016-03-28,13.5,13.73,13.28,13.46,493899.0,0.0,1.0,12.878453038674,13.097863720074,12.668581952118,12.8402946593,493899.0
2016-03-24,13.15,13.5,13.0399,13.49,294071.0,0.0,1.0,12.544567219153,12.878453038674,12.439536279926,12.868913443831,294071.0
2016-03-23,13.46,13.5,13.28,13.29,255729.0,0.0,1.0,12.8402946593,12.878453038674,12.668581952118,12.678121546961,255729.0
2016-03-22,13.62,13.63,13.43,13.49,281367.0,0.0,1.0,12.992928176796,13.002467771639,12.81167587477,12.868913443831,281367.0
2016-03-21,13.5,13.82,13.5,13.61,271877.0,0.0,1.0,12.878453038674,13.183720073665,12.878453038674,12.983388581952,271877.0
2016-03-18,13.66,13.71,13.36,13.59,470222.0,0.0,1.0,13.031086556169,13.078784530387,12.744898710866,12.964309392265,470222.0
2016-03-17,13.2,13.6,13.11,13.53,374575.0,0.0,1.0,12.59226519337,12.973848987109,12.506408839779,12.907071823204,374575.0
2016-03-16,12.98,13.2097,12.81,13.17,359492.0,0.0,1.0,12.382394106814,12.601518600368,12.220220994475,12.56364640884,359492.0
2016-03-15,12.89,13.03,12.64,12.89,305325.0,0.0,1.0,12.296537753223,12.430092081031,12.058047882136,12.296537753223,305325.0
2016-03-14,13.21,13.28,12.85,13.07,213251.0,0.0,1.0,12.601804788214,12.668581952118,12.258379373849,12.468250460405,213251.0
2016-03-11,12.66,13.29,12.66,13.29,263954.0,0.0,1.0,12.077127071823,12.678121546961,12.077127071823,12.678121546961,263954.0
2016-03-10,12.93,12.98,12.49,12.6,319455.0,0.0,1.0,12.334696132597,12.382394106814,11.914953959484,12.019889502762,319455.0
