Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2016-06-22,39.88,40.35,39.59,39.87,92434.0,0.0,1.0,39.88,40.35,39.59,39.87,92434.0
2016-06-21,40.13,40.42,39.557,39.74,45295.0,0.0,1.0,40.13,40.42,39.557,39.74,45295.0
2016-06-20,39.85,40.79,38.83,40.19,70127.0,0.0,1.0,39.85,40.79,38.83,40.19,70127.0
2016-06-17,39.97,40.5,39.4,39.72,125996.0,0.0,1.0,39.97,40.5,39.4,39.72,125996.0
2016-06-16,39.41,39.97,38.96,39.87,58931.0,0.0,1.0,39.41,39.97,38.96,39.87,58931.0
2016-06-15,40.26,41.09,39.78,39.82,95848.0,0.0,1.0,40.26,41.09,39.78,39.82,95848.0
2016-06-14,40.09,40.43,39.55,40.1,61950.0,0.0,1.0,40.09,40.43,39.55,40.1,61950.0
2016-06-13,40.11,40.83,39.91,40.13,70530.0,0.0,1.0,40.11,40.83,39.91,40.13,70530.0
2016-06-10,40.57,41.04,40.21,40.33,73251.0,0.0,1.0,40.57,41.04,40.21,40.33,73251.0
2016-06-09,40.85,41.19,40.4201,41.05,82523.0,0.0,1.0,40.85,41.19,40.4201,41.05,82523.0
2016-06-08,40.42,41.31,40.01,41.15,68692.0,0.0,1.0,40.42,41.31,40.01,41.15,68692.0
2016-06-07,40.47,40.72,39.4,40.5,51931.0,0.0,1.0,40.47,40.72,39.4,40.5,51931.0
2016-06-06,39.7,40.75,39.44,40.45,87200.0,0.0,1.0,39.7,40.75,39.44,40.45,87200.0
2016-06-03,39.79,39.88,39.05,39.73,81185.0,0.17,1.0,39.79,39.88,39.05,39.73,81185.0
2016-06-02,39.63,39.88,39.13,39.87,74008.0,0.0,1.0,39.46115037594,39.710085213033,38.963280701754,39.700127819549,74008.0
2016-06-01,39.14,39.76,38.76,39.64,114884.0,0.0,1.0,38.973238095238,39.590596491228,38.594857142857,39.471107769424,114884.0
2016-05-31,39.46,39.55,39.0,39.33,93429.0,0.0,1.0,39.291874686717,39.38149122807,38.833834586466,39.162428571429,93429.0
2016-05-27,38.91,39.44,38.91,39.35,56165.0,0.0,1.0,38.744218045113,39.271959899749,38.744218045113,39.182343358396,56165.0
2016-05-26,39.35,39.85,39.01,39.03,47962.0,0.0,1.0,39.182343358396,39.680213032581,38.84379197995,38.863706766917,47962.0
2016-05-25,39.47,39.63,39.14,39.4,73248.0,0.0,1.0,39.3018320802,39.46115037594,38.973238095238,39.232130325815,73248.0
2016-05-24,38.41,39.38,38.21,39.31,96252.0,0.0,1.0,38.246348370927,39.212215538847,38.047200501253,39.142513784461,96252.0
2016-05-23,38.68,38.84,38.06,38.12,79779.0,0.0,1.0,38.515197994987,38.674516290727,37.897839598997,37.9575839599,79779.0
2016-05-20,38.84,39.11,38.42,38.79,126765.0,0.0,1.0,38.674516290727,38.943365914787,38.256305764411,38.624729323308,126765.0
2016-05-19,37.98,38.76,37.945,38.65,124881.0,0.0,1.0,37.818180451128,38.594857142857,37.783329573935,38.485325814536,124881.0
2016-05-18,37.95,38.82,37.845,38.22,75539.0,0.0,1.0,37.788308270677,38.654601503759,37.683755639098,38.057157894737,75539.0
