Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2016-06-22,5.4,5.4765,5.4,5.41,617863.0,0.0,1.0,5.4,5.4765,5.4,5.41,617863.0
2016-06-21,5.35,5.45,5.34,5.42,689874.0,0.0,1.0,5.35,5.45,5.34,5.42,689874.0
2016-06-20,5.5,5.5873,5.35,5.35,1269884.0,0.0,1.0,5.5,5.5873,5.35,5.35,1269884.0
2016-06-17,5.46,5.56,5.46,5.47,1584793.0,0.2,1.0,5.46,5.56,5.46,5.47,1584793.0
2016-06-16,5.61,5.7,5.57,5.66,1376662.0,0.0,1.0,5.4121164021164,5.4989417989418,5.3735273368607,5.4603527336861,1376662.0
2016-06-15,5.57,5.66,5.57,5.64,1327857.0,0.0,1.0,5.3735273368607,5.4603527336861,5.3735273368607,5.4410582010582,1327857.0
2016-06-14,5.6,5.65,5.4701,5.57,1615020.0,0.0,1.0,5.4024691358025,5.4507054673721,5.2771511463845,5.3735273368607,1615020.0
2016-06-13,5.46,5.59,5.46,5.58,1382450.0,0.0,1.0,5.2674074074074,5.3928218694885,5.2674074074074,5.3831746031746,1382450.0
2016-06-10,5.47,5.51,5.42,5.48,930533.0,0.0,1.0,5.2770546737213,5.3156437389771,5.2288183421517,5.2867019400353,930533.0
2016-06-09,5.49,5.54,5.4,5.5,1034378.0,0.0,1.0,5.2963492063492,5.3445855379189,5.2095238095238,5.3059964726631,1034378.0
2016-06-08,5.5,5.5486,5.45,5.5,752438.0,0.0,1.0,5.3059964726631,5.3528821869489,5.2577601410935,5.3059964726631,752438.0
2016-06-07,5.41,5.52,5.34,5.48,1231700.0,0.0,1.0,5.2191710758377,5.325291005291,5.1516402116402,5.2867019400353,1231700.0
2016-06-06,5.33,5.485,5.29,5.44,2213062.0,0.0,1.0,5.1419929453263,5.2915255731922,5.1034038800705,5.2481128747795,2213062.0
2016-06-03,5.29,5.33,5.26,5.32,842591.0,0.0,1.0,5.1034038800705,5.1419929453263,5.0744620811287,5.1323456790123,842591.0
2016-06-02,5.27,5.34,5.27,5.3,785248.0,0.0,1.0,5.0841093474427,5.1516402116402,5.0841093474427,5.1130511463845,785248.0
2016-06-01,5.23,5.31,5.22,5.31,1182709.0,0.0,1.0,5.0455202821869,5.1226984126984,5.035873015873,5.1226984126984,1182709.0
2016-05-31,5.27,5.32,5.23,5.23,912934.0,0.0,1.0,5.0841093474427,5.1323456790123,5.0455202821869,5.0455202821869,912934.0
2016-05-27,5.26,5.35,5.25,5.25,762672.0,0.0,1.0,5.0744620811287,5.1612874779541,5.0648148148148,5.0648148148148,762672.0
2016-05-26,5.31,5.32,5.25,5.27,1470365.0,0.0,1.0,5.1226984126984,5.1323456790123,5.0648148148148,5.0841093474427,1470365.0
2016-05-25,5.2,5.31,5.05,5.31,1109482.0,0.0,1.0,5.0165784832451,5.1226984126984,4.8718694885362,5.1226984126984,1109482.0
2016-05-24,5.13,5.19,5.03,5.16,1527114.0,0.0,1.0,4.9490476190476,5.0069312169312,4.8525749559083,4.9779894179894,1527114.0
2016-05-23,5.2,5.25,5.04,5.15,2136183.0,0.0,1.0,5.0165784832451,5.0648148148148,4.8622222222222,4.9683421516755,2136183.0
2016-05-20,5.27,5.34,5.15,5.21,2224042.0,0.0,1.0,5.0841093474427,5.1516402116402,4.9683421516755,5.0262257495591,2224042.0
2016-05-19,5.5,5.6,5.22,5.35,2380632.0,0.0,1.0,5.3059964726631,5.4024691358025,5.035873015873,5.1612874779541,2380632.0
2016-05-18,5.72,5.73,5.6,5.68,593867.0,0.0,1.0,5.5182363315697,5.5278835978836,5.4024691358025,5.4796472663139,593867.0
2016-05-17,5.65,5.78,5.65,5.72,579615.0,0.0,1.0,5.4507054673721,5.5761199294533,5.4507054673721,5.5182363315697,579615.0
2016-05-16,5.65,5.78,5.65,5.69,541328.0,0.0,1.0,5.4507054673721,5.5761199294533,5.4507054673721,5.4892945326279,541328.0
2016-05-13,5.69,5.72,5.65,5.65,482067.0,0.0,1.0,5.4892945326279,5.5182363315697,5.4507054673721,5.4507054673721,482067.0
2016-05-12,5.71,5.79,5.66,5.7,491308.0,0.0,1.0,5.5085890652557,5.5857671957672,5.4603527336861,5.4989417989418,491308.0
2016-05-11,5.64,5.8,5.64,5.7,796670.0,0.0,1.0,5.4410582010582,5.5954144620811,5.4410582010582,5.4989417989418,796670.0
