Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2016-06-22,36.48,36.5699,35.93,35.96,188534.0,0.0,1.0,36.48,36.5699,35.93,35.96,188534.0
2016-06-21,36.59,36.7,36.12,36.28,190676.0,0.0,1.0,36.59,36.7,36.12,36.28,190676.0
2016-06-20,36.87,37.13,36.49,36.53,163735.0,0.0,1.0,36.87,37.13,36.49,36.53,163735.0
2016-06-17,36.86,37.03,36.25,36.43,475756.0,0.0,1.0,36.86,37.03,36.25,36.43,475756.0
2016-06-16,36.93,37.05,36.34,36.95,152074.0,0.0,1.0,36.93,37.05,36.34,36.95,152074.0
2016-06-15,36.96,37.41,36.53,37.06,97605.0,0.0,1.0,36.96,37.41,36.53,37.06,97605.0
2016-06-14,36.97,37.335,36.33,36.66,205454.0,0.0,1.0,36.97,37.335,36.33,36.66,205454.0
2016-06-13,37.6,37.875,37.0,37.14,267593.0,0.0,1.0,37.6,37.875,37.0,37.14,267593.0
2016-06-10,38.56,38.62,37.78,37.78,166920.0,0.0,1.0,38.56,38.62,37.78,37.78,166920.0
2016-06-09,38.64,39.02,38.38,38.88,201053.0,0.0,1.0,38.64,39.02,38.38,38.88,201053.0
2016-06-08,38.63,39.27,38.63,39.04,120203.0,0.0,1.0,38.63,39.27,38.63,39.04,120203.0
2016-06-07,38.19,38.85,38.14,38.6,143377.0,0.0,1.0,38.19,38.85,38.14,38.6,143377.0
2016-06-06,37.82,38.17,37.51,38.07,145743.0,0.0,1.0,37.82,38.17,37.51,38.07,145743.0
2016-06-03,38.2,38.235,37.39,37.76,107526.0,0.0,1.0,38.2,38.235,37.39,37.76,107526.0
2016-06-02,38.0,38.0,37.48,37.99,119166.0,0.0,1.0,38.0,38.0,37.48,37.99,119166.0
2016-06-01,37.44,38.06,37.05,38.04,165621.0,0.0,1.0,37.44,38.06,37.05,38.04,165621.0
2016-05-31,37.42,37.88,37.19,37.66,226862.0,0.0,1.0,37.42,37.88,37.19,37.66,226862.0
2016-05-27,36.55,37.23,36.51,37.12,219794.0,0.0,1.0,36.55,37.23,36.51,37.12,219794.0
2016-05-26,36.26,36.89,36.19,36.42,98637.0,0.0,1.0,36.26,36.89,36.19,36.42,98637.0
2016-05-25,36.0,36.03,35.62,35.96,118829.0,0.0,1.0,36.0,36.03,35.62,35.96,118829.0
2016-05-24,34.92,36.12,34.785,36.1,162058.0,0.0,1.0,34.92,36.12,34.785,36.1,162058.0
2016-05-23,35.14,35.21,34.61,34.9,145918.0,0.0,1.0,35.14,35.21,34.61,34.9,145918.0
2016-05-20,34.5,35.18,34.5,35.15,189761.0,0.0,1.0,34.5,35.18,34.5,35.15,189761.0
2016-05-19,34.79,35.19,33.85,34.43,185870.0,0.0,1.0,34.79,35.19,33.85,34.43,185870.0
2016-05-18,35.38,35.84,34.68,34.95,164042.0,0.0,1.0,35.38,35.84,34.68,34.95,164042.0
2016-05-17,35.86,35.86,35.33,35.44,190564.0,0.0,1.0,35.86,35.86,35.33,35.44,190564.0
2016-05-16,35.66,36.27,35.56,35.85,139299.0,0.0,1.0,35.66,36.27,35.56,35.85,139299.0
2016-05-13,35.65,35.84,35.46,35.67,110828.0,0.0,1.0,35.65,35.84,35.46,35.67,110828.0
2016-05-12,35.75,35.93,35.43,35.83,150436.0,0.0,1.0,35.75,35.93,35.43,35.83,150436.0
2016-05-11,36.0,36.46,35.56,35.58,128909.0,0.0,1.0,36.0,36.46,35.56,35.58,128909.0
2016-05-10,36.28,36.67,35.93,36.23,208255.0,0.0,1.0,36.28,36.67,35.93,36.23,208255.0
2016-05-09,36.58,36.92,36.0,36.25,121773.0,0.0,1.0,36.58,36.92,36.0,36.25,121773.0
2016-05-06,35.0,37.0,32.94,36.69,460745.0,0.0,1.0,35.0,37.0,32.94,36.69,460745.0
2016-05-05,37.97,38.975,37.59,37.74,115852.0,0.06,1.0,37.97,38.975,37.59,37.74,115852.0
2016-05-04,37.72,38.2,37.5501,37.91,229983.0,0.0,1.0,37.660126984127,38.139365079365,37.490496666667,37.849825396825,229983.0
2016-05-03,38.71,38.78,37.83,37.91,183145.0,0.0,1.0,38.648555555556,38.718444444444,37.769952380952,37.849825396825,183145.0
2016-05-02,38.35,39.31,38.35,39.0,203785.0,0.0,1.0,38.289126984127,39.247603174603,38.289126984127,38.938095238095,203785.0
2016-04-29,38.25,38.65,37.81,38.24,215361.0,0.0,1.0,38.189285714286,38.588650793651,37.749984126984,38.179301587302,215361.0
2016-04-28,38.89,39.17,38.23,38.32,94156.0,0.0,1.0,38.82826984127,39.107825396825,38.169317460317,38.259174603175,94156.0
2016-04-27,38.82,39.32,38.6,39.0,152847.0,0.0,1.0,38.758380952381,39.257587301587,38.53873015873,38.938095238095,152847.0
2016-04-26,38.63,39.36,38.5,38.99,150202.0,0.0,1.0,38.568682539683,39.297523809524,38.438888888889,38.928111111111,150202.0
2016-04-25,38.67,38.77,38.01,38.53,139420.0,0.0,1.0,38.608619047619,38.70846031746,37.949666666667,38.468841269841,139420.0
2016-04-22,37.97,38.78,37.85,38.75,156281.0,0.0,1.0,37.90973015873,38.718444444444,37.789920634921,38.688492063492,156281.0
2016-04-21,37.57,38.39,37.53,37.85,148083.0,0.0,1.0,37.510365079365,38.329063492063,37.470428571429,37.789920634921,148083.0
2016-04-20,37.47,37.7,37.34,37.47,113052.0,0.0,1.0,37.410523809524,37.640158730159,37.28073015873,37.410523809524,113052.0
2016-04-19,37.6,37.97,37.19,37.56,110016.0,0.0,1.0,37.540317460317,37.90973015873,37.130968253968,37.500380952381,110016.0
2016-04-18,37.82,38.11,37.3,37.65,119363.0,0.0,1.0,37.759968253968,38.049507936508,37.240793650794,37.590238095238,119363.0
2016-04-15,37.4,38.1,37.15,38.02,134401.0,0.0,1.0,37.340634920635,38.039523809524,37.091031746032,37.959650793651,134401.0
2016-04-14,37.45,37.85,37.25,37.56,114349.0,0.0,1.0,37.390555555556,37.789920634921,37.190873015873,37.500380952381,114349.0
2016-04-13,37.21,37.6225,36.802,37.5,154214.0,0.0,1.0,37.150936507937,37.562781746032,36.743584126984,37.440476190476,154214.0
2016-04-12,36.8,37.36,36.51,36.84,93486.0,0.0,1.0,36.741587301587,37.300698412698,36.452047619048,36.781523809524,93486.0
2016-04-11,36.51,37.2,36.51,36.78,208816.0,0.0,1.0,36.452047619048,37.140952380952,36.452047619048,36.721619047619,208816.0
2016-04-08,36.07,36.47,35.74,36.35,95795.0,0.0,1.0,36.012746031746,36.412111111111,35.68326984127,36.292301587302,95795.0
2016-04-07,35.8,36.145,35.62,35.78,141929.0,0.0,1.0,35.743174603175,36.087626984127,35.56346031746,35.723206349206,141929.0
2016-04-06,35.38,36.05,35.33,35.97,128070.0,0.0,1.0,35.323841269841,35.992777777778,35.273920634921,35.912904761905,128070.0
2016-04-05,35.29,35.65,35.14,35.34,94299.0,0.0,1.0,35.233984126984,35.593412698413,35.084222222222,35.283904761905,94299.0
2016-04-04,36.18,36.445,35.2415,35.54,164665.0,0.0,1.0,36.122571428571,36.387150793651,35.185561111111,35.483587301587,164665.0
2016-04-01,36.36,36.67,35.995,36.23,124115.0,0.0,1.0,36.302285714286,36.611793650794,35.937865079365,36.172492063492,124115.0
2016-03-31,36.25,36.83,36.16,36.68,132809.0,0.0,1.0,36.19246031746,36.77153968254,36.102603174603,36.621777777778,132809.0
2016-03-30,36.04,36.43,35.85,36.3,108238.0,0.0,1.0,35.982793650794,36.372174603175,35.793095238095,36.242380952381,108238.0
2016-03-29,34.88,35.95,34.69,35.94,260257.0,0.0,1.0,34.824634920635,35.892936507937,34.634936507937,35.882952380952,260257.0
2016-03-28,34.96,35.11,34.62,34.85,135266.0,0.0,1.0,34.904507936508,35.05426984127,34.565047619048,34.794682539683,135266.0
2016-03-24,34.61,34.86,34.17,34.81,238459.0,0.0,1.0,34.555063492063,34.804666666667,34.115761904762,34.754746031746,238459.0
2016-03-23,35.81,35.925,34.69,34.72,161944.0,0.0,1.0,35.753158730159,35.867976190476,34.634936507937,34.664888888889,161944.0
2016-03-22,35.92,36.1557,35.63,35.78,146320.0,0.0,1.0,35.862984126984,36.09831,35.573444444444,35.723206349206,146320.0
2016-03-21,37.25,37.25,35.99,36.35,241840.0,0.0,1.0,37.190873015873,37.190873015873,35.932873015873,36.292301587302,241840.0
2016-03-18,37.2,37.83,37.08,37.43,340845.0,0.0,1.0,37.140952380952,37.769952380952,37.021142857143,37.370587301587,340845.0
2016-03-17,36.52,37.14,36.2,36.99,122365.0,0.0,1.0,36.462031746032,37.081047619048,36.14253968254,36.931285714286,122365.0
2016-03-16,35.04,36.53,35.04,36.48,193092.0,0.0,1.0,34.984380952381,36.472015873016,34.984380952381,36.422095238095,193092.0
2016-03-15,35.63,35.63,34.87,35.18,145500.0,0.0,1.0,35.573444444444,35.573444444444,34.814650793651,35.124158730159,145500.0
2016-03-14,36.3,36.3,35.72,35.88,108801.0,0.0,1.0,36.242380952381,36.242380952381,35.663301587302,35.823047619048,108801.0
2016-03-11,35.91,36.4,35.77,36.34,153976.0,0.0,1.0,35.853,36.342222222222,35.713222222222,36.282317460317,153976.0
2016-03-09,35.19,35.64,35.17,35.62,201480.0,0.0,1.0,35.134142857143,35.583428571429,35.114174603175,35.56346031746,201480.0
2016-03-08,35.01,35.63,35.01,35.13,236879.0,0.0,1.0,34.954428571429,35.573444444444,34.954428571429,35.074238095238,236879.0
2016-03-07,34.67,35.3,34.67,35.16,204560.0,0.0,1.0,34.614968253968,35.243968253968,34.614968253968,35.10419047619,204560.0
2016-03-04,34.54,35.0,34.32,34.84,159827.0,0.0,1.0,34.485174603175,34.944444444444,34.265523809524,34.784698412698,159827.0
2016-03-03,34.29,34.7,34.234,34.49,235137.0,0.0,1.0,34.235571428571,34.644920634921,34.17966031746,34.435253968254,235137.0
2016-03-02,34.09,34.44,33.72,34.34,192266.0,0.0,1.0,34.035888888889,34.385333333333,33.666476190476,34.285492063492,192266.0
2016-03-01,33.66,34.17,33.41,34.16,286762.0,0.0,1.0,33.606571428571,34.115761904762,33.356968253968,34.105777777778,286762.0
2016-02-29,33.29,33.78,33.26,33.52,241380.0,0.0,1.0,33.237158730159,33.726380952381,33.207206349206,33.466793650794,241380.0
2016-02-26,33.23,33.67,32.6,33.29,207966.0,0.0,1.0,33.177253968254,33.616555555556,32.548253968254,33.237158730159,207966.0
2016-02-25,33.21,33.72,33.1,33.44,156799.0,0.0,1.0,33.157285714286,33.666476190476,33.04746031746,33.386920634921,156799.0
2016-02-24,32.6,33.15,32.38,33.09,209385.0,0.0,1.0,32.548253968254,33.097380952381,32.328603174603,33.037476190476,209385.0
2016-02-23,32.77,33.07,32.47,32.98,245062.0,0.0,1.0,32.717984126984,33.017507936508,32.41846031746,32.927650793651,245062.0
2016-02-22,32.62,33.19,32.41,32.87,196240.0,0.0,1.0,32.568222222222,33.137317460317,32.358555555556,32.817825396825,196240.0
2016-02-19,32.19,32.48,31.83,32.36,133568.0,0.0,1.0,32.138904761905,32.428444444444,31.779476190476,32.308634920635,133568.0
2016-02-18,32.36,32.36,31.9,32.27,154734.0,0.0,1.0,32.308634920635,32.308634920635,31.849365079365,32.218777777778,154734.0
2016-02-17,32.02,32.48,32.02,32.25,196987.0,0.0,1.0,31.969174603175,32.428444444444,31.969174603175,32.19880952381,196987.0
2016-02-16,31.51,31.99,31.27,31.87,206316.0,0.0,1.0,31.459984126984,31.939222222222,31.220365079365,31.819412698413,206316.0
