Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2016-06-22,63.78,63.9799,63.19,63.36,56270.0,0.0,1.0,63.78,63.9799,63.19,63.36,56270.0
2016-06-21,64.88,64.88,63.6001,63.94,73531.0,0.0,1.0,64.88,64.88,63.6001,63.94,73531.0
2016-06-20,65.24,65.31,64.26,64.88,73043.0,0.0,1.0,65.24,65.31,64.26,64.88,73043.0
2016-06-17,63.72,64.97,63.45,64.49,164202.0,0.0,1.0,63.72,64.97,63.45,64.49,164202.0
2016-06-16,61.68,63.52,61.33,63.43,80058.0,0.0,1.0,61.68,63.52,61.33,63.43,80058.0
2016-06-15,62.81,62.81,61.31,62.34,85260.0,0.0,1.0,62.81,62.81,61.31,62.34,85260.0
2016-06-14,61.71,62.78,61.422,62.5,99388.0,0.0,1.0,61.71,62.78,61.422,62.5,99388.0
2016-06-13,62.53,62.76,61.18,61.77,80506.0,0.0,1.0,62.53,62.76,61.18,61.77,80506.0
2016-06-10,62.32,62.878,61.92,62.52,74056.0,0.0,1.0,62.32,62.878,61.92,62.52,74056.0
2016-06-09,62.13,62.89,61.26,62.84,61206.0,0.0,1.0,62.13,62.89,61.26,62.84,61206.0
2016-06-08,62.43,63.02,62.13,62.57,41943.0,0.0,1.0,62.43,63.02,62.13,62.57,41943.0
2016-06-07,61.85,62.71,61.23,62.37,64412.0,0.0,1.0,61.85,62.71,61.23,62.37,64412.0
2016-06-06,61.83,62.29,61.62,61.95,54105.0,0.0,1.0,61.83,62.29,61.62,61.95,54105.0
2016-06-03,61.47,62.93,61.2,61.94,59304.0,0.0,1.0,61.47,62.93,61.2,61.94,59304.0
2016-06-02,61.49,61.7,60.94,61.62,58919.0,0.0,1.0,61.49,61.7,60.94,61.62,58919.0
2016-06-01,61.23,61.7299,60.14,61.49,100141.0,0.0,1.0,61.23,61.7299,60.14,61.49,100141.0
2016-05-31,61.09,61.65,60.98,61.64,121970.0,0.0,1.0,61.09,61.65,60.98,61.64,121970.0
2016-05-27,60.4,61.69,59.93,61.02,66938.0,0.0,1.0,60.4,61.69,59.93,61.02,66938.0
2016-05-26,61.63,61.63,59.93,60.4,57673.0,0.0,1.0,61.63,61.63,59.93,60.4,57673.0
2016-05-25,60.91,61.63,60.18,60.83,85239.0,0.0,1.0,60.91,61.63,60.18,60.83,85239.0
2016-05-24,58.69,60.79,58.23,60.43,180414.0,0.0,1.0,58.69,60.79,58.23,60.43,180414.0
2016-05-23,57.36,58.2,56.81,57.69,138193.0,0.0,1.0,57.36,58.2,56.81,57.69,138193.0
2016-05-20,57.46,57.53,56.57,57.46,1259967.0,0.0,1.0,57.46,57.53,56.57,57.46,1259967.0
2016-05-19,58.0,60.93,56.45,57.16,704382.0,0.0,1.0,58.0,60.93,56.45,57.16,704382.0
2016-05-18,53.02,54.3,53.02,53.76,41342.0,0.0,1.0,53.02,54.3,53.02,53.76,41342.0
2016-05-17,55.13,55.13,52.82,53.26,27700.0,0.0,1.0,55.13,55.13,52.82,53.26,27700.0
2016-05-16,53.97,55.56,53.97,55.13,34304.0,0.0,1.0,53.97,55.56,53.97,55.13,34304.0
2016-05-13,55.06,55.06,53.02,53.7,32674.0,0.0,1.0,55.06,55.06,53.02,53.7,32674.0
2016-05-12,55.37,55.37,54.705,54.94,20255.0,0.0,1.0,55.37,55.37,54.705,54.94,20255.0
2016-05-11,55.95,56.06,55.12,55.37,15598.0,0.0,1.0,55.95,56.06,55.12,55.37,15598.0
2016-05-10,55.27,56.44,55.27,56.32,15797.0,0.0,1.0,55.27,56.44,55.27,56.32,15797.0
2016-05-09,55.64,55.64,54.85,54.87,29075.0,0.0,1.0,55.64,55.64,54.85,54.87,29075.0
2016-05-06,55.17,56.17,54.626,55.69,30379.0,0.0,1.0,55.17,56.17,54.626,55.69,30379.0
2016-05-05,56.51,56.67,54.82,55.23,43638.0,0.0,1.0,56.51,56.67,54.82,55.23,43638.0
2016-05-04,54.51,54.78,53.38,54.48,47280.0,0.0,1.0,54.51,54.78,53.38,54.48,47280.0
2016-05-03,56.07,56.72,54.73,54.86,31340.0,0.0,1.0,56.07,56.72,54.73,54.86,31340.0
2016-05-02,56.71,56.72,55.47,56.72,27471.0,0.0,1.0,56.71,56.72,55.47,56.72,27471.0
2016-04-29,56.27,56.59,55.84,56.44,19810.0,0.0,1.0,56.27,56.59,55.84,56.44,19810.0
2016-04-28,57.18,57.18,56.44,56.59,119497.0,0.0,1.0,57.18,57.18,56.44,56.59,119497.0
2016-04-27,56.83,57.8325,56.83,57.38,32440.0,0.0,1.0,56.83,57.8325,56.83,57.38,32440.0
2016-04-26,57.16,57.67,56.47,57.01,31541.0,0.0,1.0,57.16,57.67,56.47,57.01,31541.0
2016-04-25,56.65,56.944,56.15,56.83,15743.0,0.0,1.0,56.65,56.944,56.15,56.83,15743.0
2016-04-22,57.14,57.73,56.71,56.96,30092.0,0.0,1.0,57.14,57.73,56.71,56.96,30092.0
2016-04-21,56.65,57.285,56.442,57.01,18900.0,0.0,1.0,56.65,57.285,56.442,57.01,18900.0
2016-04-20,57.05,57.46,56.63,56.67,32232.0,0.0,1.0,57.05,57.46,56.63,56.67,32232.0
2016-04-19,57.02,57.69,56.35,57.15,33414.0,0.0,1.0,57.02,57.69,56.35,57.15,33414.0
2016-04-18,56.94,57.31,56.58,57.02,13078.0,0.0,1.0,56.94,57.31,56.58,57.02,13078.0
2016-04-15,56.74,57.27,56.605,56.94,21465.0,0.0,1.0,56.74,57.27,56.605,56.94,21465.0
2016-04-14,56.12,56.77,55.53,56.74,45969.0,0.0,1.0,56.12,56.77,55.53,56.74,45969.0
2016-04-13,55.0,56.23,54.931,56.17,61900.0,0.09,1.0,55.0,56.23,54.931,56.17,61900.0
2016-04-12,54.29,55.82,54.29,54.8,51943.0,0.0,1.0,54.203151439744,55.730703874867,54.203151439744,54.712335584785,51943.0
2016-04-11,54.87,55.5161,54.42,54.43,30191.0,0.0,1.0,54.782223604692,55.427290028439,54.332943476715,54.342927479559,30191.0
2016-04-08,54.85,55.14,54.26,54.74,16600.0,0.0,1.0,54.762255599005,55.051791681479,54.173199431212,54.652431567721,16600.0
2016-04-07,54.47,55.26,54.02,54.34,32518.0,0.0,1.0,54.382863490935,55.171599715606,53.933583362958,54.253071453964,32518.0
2016-04-06,55.64,55.64,54.41,55.04,35139.0,0.0,1.0,55.550991823676,55.550991823676,54.322959473871,54.951951653039,35139.0
2016-04-05,54.41,56.08,54.26,55.92,44431.0,0.0,1.0,54.322959473871,55.990287948809,54.173199431212,55.830543903306,44431.0
2016-04-04,56.39,56.39,54.86,54.95,27419.0,0.0,1.0,56.299792036971,56.299792036971,54.772239601849,54.862095627444,27419.0
2016-04-01,55.13,56.79,54.73,56.74,61055.0,0.0,1.0,55.041807678635,56.699152150729,54.642447564877,56.649232136509,61055.0
2016-03-31,56.65,56.65,55.44,55.71,90802.0,0.0,1.0,56.559376110914,56.559376110914,55.351311766797,55.620879843583,90802.0
2016-03-30,57.7,57.91,56.71,56.8,28857.0,0.0,1.0,57.607696409527,57.81736046925,56.619280127977,56.709136153573,28857.0
2016-03-29,55.96,57.49,55.86,57.35,68280.0,0.0,1.0,55.870479914682,57.398032349804,55.770639886242,57.258256309989,68280.0
2016-03-28,55.94,56.44,55.4,56.28,29986.0,0.0,1.0,55.850511908994,56.349712051191,55.311375755421,56.189968005688,29986.0
2016-03-24,54.63,56.15,54.54,55.67,32249.0,0.0,1.0,54.542607536438,56.060175968717,54.452751510843,55.580943832208,32249.0
2016-03-23,56.75,56.75,55.28,55.36,49357.0,0.0,1.0,56.659216139353,56.659216139353,55.191567721294,55.271439744046,49357.0
2016-03-22,56.83,57.21,56.62,56.92,40857.0,0.0,1.0,56.739088162105,57.118480270174,56.529424102382,56.8289441877,40857.0
2016-03-21,57.16,57.55,56.37,57.19,79561.0,0.0,1.0,57.068560255954,57.457936366868,56.279824031283,57.098512264486,79561.0
2016-03-18,57.86,57.86,57.03,57.25,68555.0,0.0,1.0,57.76744045503,57.76744045503,56.938768218983,57.15841628155,68555.0
2016-03-17,56.95,57.84,56.59,57.45,45458.0,0.0,1.0,56.858896196232,57.747472449342,56.49947209385,57.358096338429,45458.0
2016-03-16,55.97,56.92,55.9,56.78,18483.0,0.0,1.0,55.880463917526,56.8289441877,55.810575897618,56.689168147885,18483.0
2016-03-15,56.29,56.5,55.74,56.05,37376.0,0.0,1.0,56.199952008532,56.409616068255,55.650831852115,55.960335940277,37376.0
2016-03-14,58.015,58.015,56.59,56.88,47477.0,0.0,1.0,57.922192499111,57.922192499111,56.49947209385,56.789008176324,47477.0
2016-03-11,57.12,57.98,56.44,57.81,51966.0,0.0,1.0,57.028624244579,57.887248489157,56.349712051191,57.717520440811,51966.0
