Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2016-06-22,145.54,147.58,142.545,143.34,129259.0,0.0,1.0,145.54,147.58,142.545,143.34,129259.0
2016-06-21,145.09,146.27,143.61,145.07,149347.0,0.0,1.0,145.09,146.27,143.61,145.07,149347.0
2016-06-20,145.53,146.97,142.37,143.99,126651.0,0.0,1.0,145.53,146.97,142.37,143.99,126651.0
2016-06-17,146.07,146.89,143.22,143.9,240021.0,0.0,1.0,146.07,146.89,143.22,143.9,240021.0
2016-06-16,145.87,147.22,144.45,146.13,150375.0,0.0,1.0,145.87,147.22,144.45,146.13,150375.0
2016-06-15,149.04,149.35,145.965,146.48,177413.0,0.0,1.0,149.04,149.35,145.965,146.48,177413.0
2016-06-14,147.08,150.93,146.74,148.93,162318.0,0.0,1.0,147.08,150.93,146.74,148.93,162318.0
2016-06-13,146.01,148.64,145.17,145.85,121641.0,0.0,1.0,146.01,148.64,145.17,145.85,121641.0
2016-06-10,149.39,152.13,147.0,148.67,126107.0,0.0,1.0,149.39,152.13,147.0,148.67,126107.0
2016-06-09,152.42,155.32,149.21,150.74,188647.0,0.0,1.0,152.42,155.32,149.21,150.74,188647.0
2016-06-08,143.42,153.45,143.42,152.92,351430.0,0.0,1.0,143.42,153.45,143.42,152.92,351430.0
2016-06-07,140.77,144.67,139.15,143.55,161373.0,0.0,1.0,140.77,144.67,139.15,143.55,161373.0
2016-06-06,138.96,140.48,138.17,140.13,132608.0,0.0,1.0,138.96,140.48,138.17,140.13,132608.0
2016-06-03,140.55,140.55,136.04,138.61,131911.0,0.0,1.0,140.55,140.55,136.04,138.61,131911.0
2016-06-02,142.29,144.79,139.87,140.39,174749.0,0.0,1.0,142.29,144.79,139.87,140.39,174749.0
2016-06-01,138.99,142.78,138.5,142.67,263999.0,0.0,1.0,138.99,142.78,138.5,142.67,263999.0
2016-05-31,140.05,140.92,137.185,139.02,176060.0,0.0,1.0,140.05,140.92,137.185,139.02,176060.0
2016-05-27,137.13,139.85,136.47,139.67,167834.0,0.0,1.0,137.13,139.85,136.47,139.67,167834.0
2016-05-26,139.44,139.44,135.575,136.49,220590.0,0.0,1.0,139.44,139.44,135.575,136.49,220590.0
2016-05-25,139.45,142.15,138.72,139.12,122034.0,0.0,1.0,139.45,142.15,138.72,139.12,122034.0
2016-05-24,139.02,139.5995,137.42,138.97,115020.0,0.0,1.0,139.02,139.5995,137.42,138.97,115020.0
2016-05-23,140.35,141.22,137.84,138.15,78685.0,0.0,1.0,140.35,141.22,137.84,138.15,78685.0
