Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2016-06-23,13.65,13.69,13.58,13.67,176072.0,0.0,1.0,13.65,13.69,13.58,13.67,176072.0
2016-06-22,13.58,13.6,13.54,13.6,205265.0,0.0,1.0,13.58,13.6,13.54,13.6,205265.0
2016-06-21,13.52,13.62,13.51,13.56,154900.0,0.0,1.0,13.52,13.62,13.51,13.56,154900.0
2016-06-20,13.55,13.63,13.5,13.54,236190.0,0.0,1.0,13.55,13.63,13.5,13.54,236190.0
2016-06-17,13.58,13.61,13.46,13.47,446806.0,0.0,1.0,13.58,13.61,13.46,13.47,446806.0
2016-06-16,13.54,13.58,13.4974,13.57,144299.0,0.0,1.0,13.54,13.58,13.4974,13.57,144299.0
2016-06-15,13.48,13.58,13.46,13.55,80908.0,0.0,1.0,13.48,13.58,13.46,13.55,80908.0
2016-06-14,13.52,13.52,13.45,13.48,339688.0,0.0,1.0,13.52,13.52,13.45,13.48,339688.0
2016-06-13,13.54,13.59,13.475,13.5,135091.0,0.0,1.0,13.54,13.59,13.475,13.5,135091.0
2016-06-10,13.58,13.62,13.52,13.6,176256.0,0.0,1.0,13.58,13.62,13.52,13.6,176256.0
2016-06-09,13.57,13.64,13.57,13.62,182355.0,0.0,1.0,13.57,13.64,13.57,13.62,182355.0
2016-06-08,13.56,13.63,13.56,13.6,141557.0,0.0,1.0,13.56,13.63,13.56,13.6,141557.0
2016-06-07,13.61,13.63,13.54,13.56,139983.0,0.0,1.0,13.61,13.63,13.54,13.56,139983.0
2016-06-06,13.55,13.65,13.55,13.56,153265.0,0.0,1.0,13.55,13.65,13.55,13.56,153265.0
2016-06-03,13.6,13.65,13.52,13.6,133739.0,0.0,1.0,13.6,13.65,13.52,13.6,133739.0
2016-06-02,13.55,13.6,13.5,13.57,110791.0,0.0,1.0,13.55,13.6,13.5,13.57,110791.0
2016-06-01,13.46,13.56,13.46,13.55,185472.0,0.0,1.0,13.46,13.56,13.46,13.55,185472.0
2016-05-31,13.47,13.5,13.43,13.46,294206.0,0.0,1.0,13.47,13.5,13.43,13.46,294206.0
2016-05-27,13.4,13.4799,13.36,13.43,121755.0,0.0,1.0,13.4,13.4799,13.36,13.43,121755.0
2016-05-26,13.38,13.43,13.3128,13.39,571963.0,0.0,1.0,13.38,13.43,13.3128,13.39,571963.0
2016-05-25,13.32,13.39,13.3,13.36,149196.0,0.0,1.0,13.32,13.39,13.3,13.36,149196.0
2016-05-24,13.35,13.41,13.3,13.34,221530.0,0.0,1.0,13.35,13.41,13.3,13.34,221530.0
2016-05-23,13.26,13.38,13.26,13.36,244109.0,0.0,1.0,13.26,13.38,13.26,13.36,244109.0
2016-05-20,13.19,13.2701,13.19,13.23,79060.0,0.0,1.0,13.19,13.2701,13.19,13.23,79060.0
2016-05-19,13.25,13.26,13.15,13.19,180309.0,0.0,1.0,13.25,13.26,13.15,13.19,180309.0
2016-05-18,13.36,13.45,13.28,13.31,381232.0,0.0,1.0,13.36,13.45,13.28,13.31,381232.0
2016-05-17,13.46,13.55,13.35,13.36,305090.0,0.0,1.0,13.46,13.55,13.35,13.36,305090.0
2016-05-16,13.45,13.56,13.42,13.45,259201.0,0.0,1.0,13.45,13.56,13.42,13.45,259201.0
2016-05-13,13.38,13.48,13.35,13.46,271157.0,0.0,1.0,13.38,13.48,13.35,13.46,271157.0
2016-05-12,13.6,13.6,13.38,13.38,279096.0,0.0,1.0,13.6,13.6,13.38,13.38,279096.0
2016-05-11,13.3,13.54,13.2608,13.53,478913.0,0.0,1.0,13.3,13.54,13.2608,13.53,478913.0
2016-05-10,13.56,13.56,13.18,13.34,788634.0,0.0,1.0,13.56,13.56,13.18,13.34,788634.0
2016-05-09,13.65,13.77,13.63,13.72,190298.0,0.0,1.0,13.65,13.77,13.63,13.72,190298.0
2016-05-06,13.61,13.64,13.54,13.64,125159.0,0.0,1.0,13.61,13.64,13.54,13.64,125159.0
2016-05-05,13.62,13.66,13.585,13.6,137672.0,0.0,1.0,13.62,13.66,13.585,13.6,137672.0
2016-05-04,13.51,13.63,13.5,13.6,126375.0,0.0,1.0,13.51,13.63,13.5,13.6,126375.0
2016-05-03,13.63,13.63,13.52,13.57,131770.0,0.0,1.0,13.63,13.63,13.52,13.57,131770.0
2016-05-02,13.58,13.66,13.54,13.64,161065.0,0.0,1.0,13.58,13.66,13.54,13.64,161065.0
2016-04-29,13.65,13.68,13.48,13.56,128036.0,0.0,1.0,13.65,13.68,13.48,13.56,128036.0
2016-04-28,13.57,13.71,13.55,13.58,113798.0,0.0,1.0,13.57,13.71,13.55,13.58,113798.0
2016-04-27,13.65,13.68,13.55,13.6,193492.0,0.0,1.0,13.65,13.68,13.55,13.6,193492.0
2016-04-26,13.76,13.77,13.64,13.7,227517.0,0.0,1.0,13.76,13.77,13.64,13.7,227517.0
2016-04-25,13.55,13.74,13.53,13.7,536921.0,0.0,1.0,13.55,13.74,13.53,13.7,536921.0
2016-04-22,13.61,13.7,13.545,13.61,256643.0,0.0,1.0,13.61,13.7,13.545,13.61,256643.0
2016-04-21,13.7,13.72,13.5,13.56,228402.0,0.0,1.0,13.7,13.72,13.5,13.56,228402.0
2016-04-20,13.79,13.82,13.725,13.74,108554.0,0.0,1.0,13.79,13.82,13.725,13.74,108554.0
2016-04-19,13.65,13.83,13.65,13.76,464700.0,0.0,1.0,13.65,13.83,13.65,13.76,464700.0
2016-04-18,13.59,13.75,13.56,13.68,242219.0,0.0,1.0,13.59,13.75,13.56,13.68,242219.0
