Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2016-06-22,114.47,116.435,114.47,114.91,27851.0,0.0,1.0,114.47,116.435,114.47,114.91,27851.0
2016-06-21,115.11,115.8,114.39,114.85,28971.0,0.0,1.0,115.11,115.8,114.39,114.85,28971.0
2016-06-20,115.14,116.8,114.47,114.86,59905.0,0.0,1.0,115.14,116.8,114.47,114.86,59905.0
2016-06-17,115.32,115.6,112.76,114.3,70599.0,0.0,1.0,115.32,115.6,112.76,114.3,70599.0
2016-06-16,114.23,115.32,113.2001,115.09,33218.0,0.0,1.0,114.23,115.32,113.2001,115.09,33218.0
2016-06-15,114.96,116.0,114.04,114.23,63701.0,0.0,1.0,114.96,116.0,114.04,114.23,63701.0
2016-06-14,115.09,115.2,113.53,114.68,46713.0,0.0,1.0,115.09,115.2,113.53,114.68,46713.0
2016-06-13,117.9,117.9,115.0,115.1,37556.0,0.0,1.0,117.9,117.9,115.0,115.1,37556.0
2016-06-10,119.1,120.1,117.61,118.47,30323.0,0.0,1.0,119.1,120.1,117.61,118.47,30323.0
2016-06-09,119.72,120.67,119.035,119.43,30786.0,0.0,1.0,119.72,120.67,119.035,119.43,30786.0
2016-06-08,119.78,120.65,119.78,120.25,24418.0,0.0,1.0,119.78,120.65,119.78,120.25,24418.0
2016-06-07,119.49,120.48,118.85,120.04,26118.0,0.0,1.0,119.49,120.48,118.85,120.04,26118.0
2016-06-06,119.96,119.96,118.92,119.49,30923.0,0.0,1.0,119.96,119.96,118.92,119.49,30923.0
2016-06-03,118.53,120.435,117.2,119.06,26665.0,0.0,1.0,118.53,120.435,117.2,119.06,26665.0
2016-06-02,118.87,119.01,117.38,119.01,26073.0,0.0,1.0,118.87,119.01,117.38,119.01,26073.0
2016-06-01,118.69,118.96,117.78,118.96,23615.0,0.82,1.0,118.69,118.96,117.78,118.96,23615.0
2016-05-31,119.84,120.0102,118.24,119.51,38619.0,0.0,1.0,119.01958924695,119.18862407748,117.43054266155,118.69184838871,38619.0
2016-05-27,118.52,119.65,118.52,119.63,32501.0,0.0,1.0,117.70862581399,118.83088996494,117.70862581399,118.81102688262,32501.0
2016-05-26,120.38,120.38,117.84,118.69,14303.0,0.0,1.0,119.55589246953,119.55589246953,117.03328101519,117.87746201369,14303.0
2016-05-25,119.75,120.6597,118.41,119.82,34880.0,0.0,1.0,118.93020537652,119.83367767574,117.59937886125,118.99972616464,34880.0
2016-05-24,117.85,119.88,117.85,119.59,20692.0,0.0,1.0,117.04321255635,119.05931541159,117.04321255635,118.77130071798,20692.0
2016-05-23,119.32,119.32,116.93,117.79,25137.0,0.0,1.0,118.5031491067,118.5031491067,116.12951076974,116.9836233094,25137.0
2016-05-20,118.86,119.4,118.32,119.14,28058.0,0.0,1.0,118.04629821339,118.58260143597,117.50999499082,118.32438136584,28058.0
2016-05-19,118.01,119.6,117.04,118.14,31707.0,0.0,1.0,117.20211721489,118.78123225914,116.23875772249,117.33122724996,31707.0
2016-05-18,116.95,119.108,116.95,118.37,32181.0,0.0,1.0,116.14937385206,118.29260043413,116.14937385206,117.55965269661,32181.0
2016-05-17,118.32,119.15,116.075,116.9,25791.0,0.0,1.0,117.50999499082,118.334312907,115.28036400067,116.09971614627,25791.0
2016-05-16,118.17,118.56,117.1601,118.1,24356.0,0.0,1.0,117.36102187343,117.74835197863,116.35803553181,117.29150108532,24356.0
2016-05-13,118.88,118.88,117.16,117.84,27014.0,0.0,1.0,118.06616129571,118.06616129571,116.3579362164,117.03328101519,27014.0
2016-05-12,117.81,118.99,116.9901,118.95,31673.0,0.0,1.0,117.00348639172,118.17540824846,116.18919933211,118.13568208382,31673.0
2016-05-11,117.54,118.44,116.03,117.52,26689.0,0.0,1.0,116.73533478043,117.62917348472,115.23567206545,116.71547169811,26689.0
2016-05-10,117.45,118.47,117.45,118.03,15804.0,0.0,1.0,116.64595091,117.6589681082,116.64595091,117.22198029721,15804.0
2016-05-09,117.28,117.3,116.73,117.08,19591.0,0.0,1.0,116.4771147103,116.49697779262,115.93087994657,116.27848388713,19591.0
2016-05-06,116.04,117.9,116.04,117.2,25178.0,0.0,1.0,115.24560360661,117.09287026215,115.24560360661,116.39766238103,25178.0
2016-05-05,116.74,117.34,115.21,116.28,22955.0,0.0,1.0,115.94081148773,116.53670395725,114.42128569043,115.48396059442,22955.0
2016-05-04,116.41,116.98,115.4701,116.18,43487.0,0.0,1.0,115.61307062949,116.17916847554,114.67960507597,115.38464518284,43487.0
2016-05-03,117.52,117.52,115.64,116.99,30058.0,0.0,1.0,116.71547169811,116.71547169811,114.84834196026,116.1891000167,30058.0
2016-05-02,116.22,118.21,116.22,118.03,45510.0,0.0,1.0,115.42437134747,117.40074803807,115.42437134747,117.22198029721,45510.0
2016-04-29,115.46,116.43,114.51,116.12,20088.0,0.0,1.0,114.6695742194,115.6329337118,113.72607780932,115.32505593588,20088.0
2016-04-28,116.84,117.63,115.09,115.7,32801.0,0.0,1.0,116.04012689932,116.82471865086,114.30210719653,114.90793120721,32801.0
2016-04-27,116.72,118.07,115.32,117.39,43172.0,0.0,1.0,115.92094840541,117.26170646185,114.53053264318,116.58636166305,43172.0
2016-04-26,116.27,117.25,115.795,116.62,21116.0,0.0,1.0,115.47402905326,116.44732008683,115.00228084822,115.82163299382,21116.0
2016-04-25,115.7,116.04,114.53,116.04,26561.0,0.0,1.0,114.90793120721,115.24560360661,113.74594089163,115.24560360661,26561.0
2016-04-22,115.58,116.13,112.41,115.44,19788.0,0.0,1.0,114.78875271331,115.33498747704,111.64045416597,114.64971113708,19788.0
2016-04-21,116.88,116.88,114.86,115.33,25413.0,0.0,1.0,116.07985306395,116.07985306395,114.07368174987,114.54046418434,25413.0
2016-04-20,116.86,117.24,115.46,117.08,36156.0,0.0,1.0,116.05998998163,116.43738854567,114.6695742194,116.27848388713,36156.0
2016-04-19,116.0,117.56,115.45,116.94,61581.0,0.0,1.0,115.20587744198,116.75519786275,114.65964267824,116.1394423109,61581.0
2016-04-18,114.44,115.86,112.9001,115.73,55185.0,0.0,1.0,113.65655702121,115.06683586575,112.12719899816,114.93772583069,55185.0
2016-04-15,115.21,116.33,114.48,114.72,52731.0,0.0,1.0,114.42128569043,115.53361830022,113.69628318584,113.93464017365,52731.0
2016-04-14,114.72,115.61,113.99,115.28,57189.0,0.0,1.0,113.93464017365,114.81854733678,113.20963766906,114.49080647854,57189.0
2016-04-13,114.16,115.4,113.975,115.19,80619.0,0.0,1.0,113.37847386876,114.60998497245,113.19474035732,114.40142260811,80619.0
2016-04-12,113.14,114.5599,113.045,113.89,64981.0,0.0,1.0,112.36545667056,113.7756361997,112.27110702955,113.11032225747,64981.0
2016-04-11,113.37,114.23,112.01,113.04,49961.0,0.0,1.0,112.59388211721,113.44799465687,111.24319251962,112.26614125897,49961.0
2016-04-08,113.41,114.6,112.63,112.71,58897.0,0.0,1.0,112.63360828185,113.81546167975,111.85894807146,111.93840040073,58897.0
2016-04-07,113.31,115.735,112.28,113.16,83456.0,0.0,1.0,112.53429287026,114.94269160127,111.51134413091,112.38531975288,83456.0
2016-04-06,114.27,115.41,113.38,113.93,58304.0,0.0,1.0,113.48772082151,114.61991651361,112.60381365837,113.15004842211,58304.0
2016-04-05,114.13,116.715,113.33,114.0,42338.0,0.0,1.0,113.34867924528,115.91598263483,112.55415595258,113.21956921022,42338.0
2016-04-04,116.06,116.06,113.8,114.49,131354.0,0.0,1.0,115.26546668893,115.26546668893,113.02093838704,113.706214727,131354.0
2016-04-01,114.72,116.33,114.0,115.83,50081.0,0.0,1.0,113.93464017365,115.53361830022,113.21956921022,115.03704124228,50081.0
2016-03-31,116.53,117.26,114.36,115.5,64551.0,0.0,1.0,115.73224912339,116.45725162798,113.57710469194,114.70930038404,64551.0
2016-03-30,115.39,117.62,114.63,116.38,79566.0,0.0,1.0,114.60005343129,116.8147871097,113.84525630322,115.58327600601,79566.0
2016-03-29,113.89,115.35,112.53,114.78,106268.0,0.0,1.0,113.11032225747,114.56032726666,111.75963265988,113.9942294206,106268.0
2016-03-28,112.99,114.925,112.99,114.07,35424.0,0.0,1.0,112.21648355318,114.13823676741,112.21648355318,113.28908999833,35424.0
2016-03-24,113.39,113.39,111.7,112.96,48305.0,0.0,1.0,112.61374519953,112.61374519953,110.9353147437,112.1866889297,48305.0
2016-03-23,114.19,114.47,112.91,113.57,51640.0,0.0,1.0,113.40826849224,113.68635164468,112.13703122391,112.79251294039,51640.0
2016-03-22,113.61,115.09,113.35,114.19,70874.0,0.0,1.0,112.83223910503,114.30210719653,112.5740190349,113.40826849224,70874.0
2016-03-21,112.93,114.68,111.97,114.23,94829.0,0.0,1.0,112.15689430623,113.89491400902,111.20346635498,113.44799465687,94829.0
2016-03-18,116.52,117.75,112.87,112.93,843909.0,0.0,1.0,115.72231758223,116.94389714477,112.09730505928,112.15689430623,843909.0
2016-03-17,115.64,118.5,114.3,116.0,123306.0,0.0,1.0,114.84834196026,117.68876273167,113.51751544498,115.20587744198,123306.0
2016-03-16,114.26,115.68,114.0,115.2,95172.0,0.0,1.0,113.47778928035,114.8880681249,113.21956921022,114.41135414927,95172.0
2016-03-15,114.5,114.52,113.69,114.11,129904.0,0.0,1.0,113.71614626816,113.73600935048,112.9116914343,113.32881616297,129904.0
2016-03-14,114.97,115.75,114.56,115.29,140049.0,0.0,1.0,114.18292870262,114.95758891301,113.77573551511,114.5007380197,140049.0
2016-03-11,114.93,115.75,114.4201,114.97,171990.0,0.0,1.0,114.14320253799,114.95758891301,113.6367932543,114.18292870262,171990.0
2016-03-09,112.56,114.34,111.93,113.1,133031.0,0.0,1.0,111.78942728335,113.55724160962,111.16374019035,112.32573050593,133031.0
2016-03-08,112.33,113.0,112.1501,112.5,288116.0,0.0,1.0,111.5610018367,112.22641509434,111.38233341125,111.7298380364,288116.0
2016-03-07,106.03,114.18,106.03,112.9,293982.0,0.0,1.0,105.30413090666,113.39833695108,105.30413090666,112.12709968275,293982.0
2016-03-04,105.57,106.75,105.0925,105.74,52748.0,0.0,1.0,104.84728001336,106.0192018701,104.37304892303,105.01611621306,52748.0
2016-03-03,105.24,105.75,104.09,105.34,33988.0,0.0,1.0,104.51953915512,105.02604775422,103.37741192186,104.61885456671,33988.0
2016-03-02,103.0,105.49,102.16,105.23,52328.0,0.8,1.0,102.29487393555,104.76782768409,101.46062447821,104.50960761396,52328.0
2016-03-01,102.57,103.62,101.73,103.62,62835.0,0.0,1.0,101.09922147471,102.13416524529,100.27126645825,102.13416524529,62835.0
2016-02-29,103.31,103.44,101.18,101.67,29702.0,0.0,1.0,101.82861041779,101.95674631319,99.729153054611,100.21212681421,29702.0
2016-02-26,103.54,104.06,101.52,103.26,51593.0,0.0,1.0,102.05531238658,102.5678559682,100.06427770413,101.77932738109,51593.0
2016-02-25,99.58,102.81,98.14,102.61,46216.0,0.0,1.0,98.152095880393,101.33578005085,96.732744423596,101.13864790407,46216.0
2016-02-24,97.72,101.61,97.72,99.46,33964.0,0.0,1.0,96.318766915364,100.15298717018,96.318766915364,98.033816592326,33964.0
2016-02-23,98.36,100.1,96.92,97.82,31756.0,0.0,1.0,96.949589785051,98.664639462013,95.530238328255,96.417332988753,31756.0
2016-02-22,99.45,99.45,97.515,98.46,37534.0,0.0,1.0,98.023959984987,98.023959984987,96.116706464918,97.04815585844,37534.0
2016-02-19,97.28,98.7161,96.55,98.3,32222.0,0.0,1.0,95.885076192454,97.300583572388,95.165543856717,96.890450141018,32222.0
2016-02-18,97.28,97.81,96.147,97.1,19157.0,0.0,1.0,95.885076192454,96.407476381414,94.768322580961,95.707657260355,19157.0
2016-02-17,94.42,97.08,94.42,96.67,40379.0,0.0,1.0,93.06608649354,95.687944045677,93.06608649354,95.283823144784,40379.0
2016-02-16,93.45,94.47,92.59,94.32,39296.0,0.0,1.0,92.10999558167,93.115369530234,91.262327350528,92.967520420151,39296.0
2016-02-12,92.93,93.44,91.2,93.25,36997.0,0.0,1.0,91.597452000049,92.100138974331,89.892258930426,91.912863434893,36997.0
2016-02-11,92.86,93.77,91.53,92.21,24589.0,0.0,1.0,91.528455748677,92.425407016514,90.217526972608,90.887776271651,24589.0
2016-02-10,95.51,95.57,94.06,94.1,29850.0,0.0,1.0,94.140456693476,94.199596337509,92.711248629341,92.750675058696,29850.0
2016-02-09,94.6,98.08,94.6,95.15,22443.0,0.0,1.0,93.243505425639,96.673604779563,93.243505425639,93.785618829277,22443.0
