Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2016-06-22,4.64,4.65,4.61,4.65,846656.0,0.0,1.0,4.64,4.65,4.61,4.65,846656.0
2016-06-21,4.65,4.66,4.62,4.62,766273.0,0.0,1.0,4.65,4.66,4.62,4.62,766273.0
2016-06-20,4.67,4.69,4.62,4.64,769954.0,0.0,1.0,4.67,4.69,4.62,4.64,769954.0
2016-06-17,4.67,4.71,4.64,4.65,1732031.0,0.0,1.0,4.67,4.71,4.64,4.65,1732031.0
2016-06-16,4.62,4.68,4.605,4.67,457153.0,0.0,1.0,4.62,4.68,4.605,4.67,457153.0
2016-06-15,4.63,4.66,4.61,4.63,448831.0,0.0,1.0,4.63,4.66,4.61,4.63,448831.0
2016-06-14,4.65,4.67,4.62,4.63,361370.0,0.0,1.0,4.65,4.67,4.62,4.63,361370.0
2016-06-13,4.72,4.735,4.65,4.66,536839.0,0.0,1.0,4.72,4.735,4.65,4.66,536839.0
2016-06-10,4.74,4.75,4.7,4.73,640813.0,0.0,1.0,4.74,4.75,4.7,4.73,640813.0
2016-06-09,4.7,4.75,4.68,4.75,673442.0,0.0,1.0,4.7,4.75,4.68,4.75,673442.0
2016-06-08,4.65,4.7,4.65,4.7,571610.0,0.0,1.0,4.65,4.7,4.65,4.7,571610.0
2016-06-07,4.66,4.69,4.64,4.65,514271.0,0.0,1.0,4.66,4.69,4.64,4.65,514271.0
2016-06-06,4.68,4.68,4.64,4.67,766299.0,0.0,1.0,4.68,4.68,4.64,4.67,766299.0
2016-06-03,4.65,4.71,4.64,4.65,892171.0,0.0,1.0,4.65,4.71,4.64,4.65,892171.0
2016-06-02,4.59,4.64,4.58,4.64,503983.0,0.0,1.0,4.59,4.64,4.58,4.64,503983.0
2016-06-01,4.62,4.645,4.58,4.59,906744.0,0.0,1.0,4.62,4.645,4.58,4.59,906744.0
2016-05-31,4.63,4.64,4.6,4.63,498048.0,0.0,1.0,4.63,4.64,4.6,4.63,498048.0
2016-05-27,4.62,4.65,4.6,4.62,339350.0,0.0,1.0,4.62,4.65,4.6,4.62,339350.0
2016-05-26,4.62,4.64,4.61,4.63,393327.0,0.0,1.0,4.62,4.64,4.61,4.63,393327.0
2016-05-25,4.65,4.67,4.59,4.63,647046.0,0.0,1.0,4.65,4.67,4.59,4.63,647046.0
2016-05-24,4.62,4.69,4.62,4.66,514413.0,0.0,1.0,4.62,4.69,4.62,4.66,514413.0
2016-05-23,4.62,4.66,4.61,4.63,372519.0,0.0,1.0,4.62,4.66,4.61,4.63,372519.0
2016-05-20,4.6,4.64,4.6,4.62,346816.0,0.0,1.0,4.6,4.64,4.6,4.62,346816.0
2016-05-19,4.59,4.62,4.56,4.6,497974.0,0.0,1.0,4.59,4.62,4.56,4.6,497974.0
2016-05-18,4.68,4.705,4.56,4.6,561625.0,0.0,1.0,4.68,4.705,4.56,4.6,561625.0
2016-05-17,4.76,4.78,4.69,4.7,663288.0,0.0,1.0,4.76,4.78,4.69,4.7,663288.0
2016-05-16,4.76,4.78,4.75,4.77,267861.0,0.0,1.0,4.76,4.78,4.75,4.77,267861.0
2016-05-13,4.77,4.78,4.75,4.76,370786.0,0.0,1.0,4.77,4.78,4.75,4.76,370786.0
2016-05-12,4.78,4.79,4.75,4.78,448052.0,0.0,1.0,4.78,4.79,4.75,4.78,448052.0
2016-05-11,4.78,4.79,4.76,4.76,627565.0,0.0,1.0,4.78,4.79,4.76,4.76,627565.0
2016-05-10,4.76,4.78,4.74,4.78,420712.0,0.0,1.0,4.76,4.78,4.74,4.78,420712.0
