Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2016-06-22,12.43,12.79,12.395,12.71,36541.0,0.0,1.0,12.43,12.79,12.395,12.71,36541.0
2016-06-21,12.82,12.98,12.23,12.43,58066.0,0.0,1.0,12.82,12.98,12.23,12.43,58066.0
2016-06-20,13.124,13.474,12.69,12.71,51133.0,0.0,1.0,13.124,13.474,12.69,12.71,51133.0
2016-06-17,12.88,13.16,12.675,12.91,79571.0,0.0,1.0,12.88,13.16,12.675,12.91,79571.0
2016-06-16,13.06,13.36,12.57,13.08,34518.0,0.0,1.0,13.06,13.36,12.57,13.08,34518.0
2016-06-15,13.09,13.54,13.0,13.17,51548.0,0.0,1.0,13.09,13.54,13.0,13.17,51548.0
2016-06-14,12.82,13.14,12.69,12.96,31212.0,0.0,1.0,12.82,13.14,12.69,12.96,31212.0
2016-06-13,13.55,13.72,12.77,12.95,76385.0,0.0,1.0,13.55,13.72,12.77,12.95,76385.0
2016-06-10,14.12,14.12,13.57,13.78,34789.0,0.0,1.0,14.12,14.12,13.57,13.78,34789.0
2016-06-09,14.13,14.31,13.68,14.1,31312.0,0.0,1.0,14.13,14.31,13.68,14.1,31312.0
2016-06-08,14.2,14.71,14.11,14.38,37569.0,0.0,1.0,14.2,14.71,14.11,14.38,37569.0
2016-06-07,14.23,14.645,14.07,14.1,32821.0,0.0,1.0,14.23,14.645,14.07,14.1,32821.0
2016-06-06,14.27,14.69,14.24,14.32,25943.0,0.0,1.0,14.27,14.69,14.24,14.32,25943.0
2016-06-03,14.19,14.505,13.93,14.31,25925.0,0.0,1.0,14.19,14.505,13.93,14.31,25925.0
2016-06-02,14.0,14.4,13.86,14.15,31690.0,0.0,1.0,14.0,14.4,13.86,14.15,31690.0
2016-06-01,14.36,14.375,13.97,14.17,21843.0,0.0,1.0,14.36,14.375,13.97,14.17,21843.0
2016-05-31,14.67,14.95,14.37,14.39,42189.0,0.0,1.0,14.67,14.95,14.37,14.39,42189.0
2016-05-27,14.78,14.9399,14.6,14.67,37368.0,0.0,1.0,14.78,14.9399,14.6,14.67,37368.0
2016-05-26,14.87,14.87,14.1,14.7,49505.0,0.0,1.0,14.87,14.87,14.1,14.7,49505.0
2016-05-25,15.16,15.27,14.43,14.67,55503.0,0.0,1.0,15.16,15.27,14.43,14.67,55503.0
2016-05-24,15.4,15.53,15.12,15.16,35851.0,0.0,1.0,15.4,15.53,15.12,15.16,35851.0
2016-05-23,14.62,15.48,14.58,15.26,42852.0,0.0,1.0,14.62,15.48,14.58,15.26,42852.0
