Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2016-06-22,43.42,44.74,41.48,41.5,532366.0,0.0,1.0,43.42,44.74,41.48,41.5,532366.0
2016-06-21,43.93,44.21,43.21,43.33,195679.0,0.0,1.0,43.93,44.21,43.21,43.33,195679.0
2016-06-20,44.35,44.85,43.77,43.78,226254.0,0.0,1.0,44.35,44.85,43.77,43.78,226254.0
2016-06-17,43.64,44.09,43.06,43.79,323565.0,0.0,1.0,43.64,44.09,43.06,43.79,323565.0
2016-06-16,43.3,43.56,42.66,43.5,143279.0,0.0,1.0,43.3,43.56,42.66,43.5,143279.0
2016-06-15,43.84,44.14,43.35,43.35,147751.0,0.0,1.0,43.84,44.14,43.35,43.35,147751.0
2016-06-14,43.69,44.15,43.2933,43.64,209390.0,0.0,1.0,43.69,44.15,43.2933,43.64,209390.0
2016-06-13,44.52,44.975,43.71,43.87,152825.0,0.0,1.0,44.52,44.975,43.71,43.87,152825.0
2016-06-10,45.25,45.765,44.64,44.78,168598.0,0.0,1.0,45.25,45.765,44.64,44.78,168598.0
2016-06-09,45.8,46.44,45.585,45.81,114042.0,0.0,1.0,45.8,46.44,45.585,45.81,114042.0
2016-06-08,45.51,46.33,45.06,46.18,162096.0,0.0,1.0,45.51,46.33,45.06,46.18,162096.0
2016-06-07,45.64,46.21,45.135,45.4,179300.0,0.0,1.0,45.64,46.21,45.135,45.4,179300.0
2016-06-06,44.92,45.72,44.75,45.5,254529.0,0.0,1.0,44.92,45.72,44.75,45.5,254529.0
2016-06-03,45.03,45.25,44.37,44.8,139974.0,0.0,1.0,45.03,45.25,44.37,44.8,139974.0
2016-06-02,44.94,45.2,44.49,45.18,269349.0,0.0,1.0,44.94,45.2,44.49,45.18,269349.0
2016-06-01,43.86,45.26,43.86,45.05,310301.0,0.0,1.0,43.86,45.26,43.86,45.05,310301.0
2016-05-31,46.23,46.49,45.07,45.22,363572.0,0.0,1.0,46.23,46.49,45.07,45.22,363572.0
2016-05-27,45.48,46.39,45.35,45.94,308423.0,0.0,1.0,45.48,46.39,45.35,45.94,308423.0
2016-05-26,45.61,45.61,45.12,45.47,176621.0,0.0,1.0,45.61,45.61,45.12,45.47,176621.0
2016-05-25,45.73,45.82,45.1394,45.42,198568.0,0.0,1.0,45.73,45.82,45.1394,45.42,198568.0
2016-05-24,44.57,45.83,44.05,45.48,309984.0,0.0,1.0,44.57,45.83,44.05,45.48,309984.0
2016-05-23,43.97,44.27,43.53,44.14,324358.0,0.0,1.0,43.97,44.27,43.53,44.14,324358.0
2016-05-20,42.8,44.0,42.59,44.0,437887.0,0.0,1.0,42.8,44.0,42.59,44.0,437887.0
2016-05-19,41.89,42.55,41.15,42.5,232445.0,0.0,1.0,41.89,42.55,41.15,42.5,232445.0
2016-05-18,41.9,42.27,40.7095,42.19,242235.0,0.0,1.0,41.9,42.27,40.7095,42.19,242235.0
2016-05-17,41.02,42.79,41.02,41.97,390373.0,0.0,1.0,41.02,42.79,41.02,41.97,390373.0
2016-05-16,40.12,41.42,40.015,41.1,214495.0,0.0,1.0,40.12,41.42,40.015,41.1,214495.0
2016-05-13,40.26,40.44,39.525,39.96,271705.0,0.0,1.0,40.26,40.44,39.525,39.96,271705.0
2016-05-12,40.27,40.44,39.735,40.39,207605.0,0.0,1.0,40.27,40.44,39.735,40.39,207605.0
2016-05-11,40.65,40.8899,40.0,40.1,126047.0,0.0,1.0,40.65,40.8899,40.0,40.1,126047.0
2016-05-10,40.36,40.79,40.02,40.76,138815.0,0.125,1.0,40.36,40.79,40.02,40.76,138815.0
2016-05-09,40.6,40.92,40.3,40.33,113532.0,0.0,1.0,40.47587134646,40.79489299254,40.176788553259,40.206696832579,113532.0
2016-05-06,40.47,40.94,40.13,40.7,117369.0,0.0,1.0,40.346268802739,40.81483184542,40.007308303779,40.57556561086,117369.0
