Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2016-06-22,56.19,56.22,55.31,55.53,79875.0,0.0,1.0,56.19,56.22,55.31,55.53,79875.0
2016-06-21,55.94,56.325,55.37,55.9,90320.0,0.0,1.0,55.94,56.325,55.37,55.9,90320.0
2016-06-20,55.84,56.388,55.55,55.69,111239.0,0.0,1.0,55.84,56.388,55.55,55.69,111239.0
2016-06-17,55.39,55.87,54.53,55.23,135497.0,0.0,1.0,55.39,55.87,54.53,55.23,135497.0
2016-06-16,54.59,55.335,54.05,55.22,76527.0,0.0,1.0,54.59,55.335,54.05,55.22,76527.0
2016-06-15,54.45,55.86,54.45,55.04,129678.0,0.0,1.0,54.45,55.86,54.45,55.04,129678.0
2016-06-14,54.09,54.64,53.65,54.1,120330.0,0.0,1.0,54.09,54.64,53.65,54.1,120330.0
2016-06-13,54.56,55.32,54.23,54.31,76243.0,0.0,1.0,54.56,55.32,54.23,54.31,76243.0
2016-06-10,54.9,55.29,53.607,54.79,92796.0,0.0,1.0,54.9,55.29,53.607,54.79,92796.0
2016-06-09,55.43,55.44,54.845,55.27,133390.0,0.0,1.0,55.43,55.44,54.845,55.27,133390.0
2016-06-08,54.4,56.38,54.4,55.94,143693.0,0.0,1.0,54.4,56.38,54.4,55.94,143693.0
2016-06-07,54.52,54.8399,54.06,54.33,133955.0,0.0,1.0,54.52,54.8399,54.06,54.33,133955.0
2016-06-06,54.23,54.57,53.93,54.37,118006.0,0.0,1.0,54.23,54.57,53.93,54.37,118006.0
2016-06-03,54.11,54.24,53.43,53.86,148886.0,0.0,1.0,54.11,54.24,53.43,53.86,148886.0
2016-06-02,53.49,54.1,53.25,54.09,76908.0,0.0,1.0,53.49,54.1,53.25,54.09,76908.0
2016-06-01,53.34,53.77,52.657,53.53,96681.0,0.0,1.0,53.34,53.77,52.657,53.53,96681.0
2016-05-31,53.36,53.99,53.03,53.34,106983.0,0.0,1.0,53.36,53.99,53.03,53.34,106983.0
2016-05-27,53.13,53.42,52.38,53.09,161256.0,0.0,1.0,53.13,53.42,52.38,53.09,161256.0
2016-05-26,53.28,53.74,52.95,53.27,68714.0,0.0,1.0,53.28,53.74,52.95,53.27,68714.0
2016-05-25,53.89,54.2,52.99,53.12,137490.0,0.0,1.0,53.89,54.2,52.99,53.12,137490.0
2016-05-24,52.16,53.87,51.93,53.8,142817.0,0.0,1.0,52.16,53.87,51.93,53.8,142817.0
2016-05-23,51.42,52.31,51.12,51.88,90056.0,0.0,1.0,51.42,52.31,51.12,51.88,90056.0
2016-05-20,51.19,51.5783,50.86,51.49,171857.0,0.0,1.0,51.19,51.5783,50.86,51.49,171857.0
2016-05-19,51.58,51.69,50.73,51.07,117251.0,0.0,1.0,51.58,51.69,50.73,51.07,117251.0
2016-05-18,51.09,52.655,50.54,51.85,136452.0,0.0,1.0,51.09,52.655,50.54,51.85,136452.0
2016-05-17,50.85,52.25,50.59,51.34,200250.0,0.0,1.0,50.85,52.25,50.59,51.34,200250.0
2016-05-16,50.0,51.13,49.49,50.54,131545.0,0.0,1.0,50.0,51.13,49.49,50.54,131545.0
2016-05-13,50.07,50.39,49.46,49.5,122970.0,0.0,1.0,50.07,50.39,49.46,49.5,122970.0
2016-05-12,49.97,50.31,49.41,50.06,181332.0,0.0,1.0,49.97,50.31,49.41,50.06,181332.0
2016-05-11,49.3,50.17,47.944,49.82,252715.0,0.0,1.0,49.3,50.17,47.944,49.82,252715.0
2016-05-10,47.37,49.7,47.29,49.31,264570.0,0.0,1.0,47.37,49.7,47.29,49.31,264570.0
2016-05-09,47.76,48.2,47.1,47.27,159806.0,0.1,1.0,47.76,48.2,47.1,47.27,159806.0
2016-05-06,47.46,48.0,47.31,47.78,143910.0,0.0,1.0,47.359810006333,47.898670044332,47.210126662445,47.679134473295,143910.0
2016-05-05,47.74,48.95,47.3,47.49,137634.0,0.0,1.0,47.639218914925,48.846664555626,47.200147772852,47.389746675111,137634.0
2016-05-04,47.98,49.045,47.54,47.59,105613.0,0.0,1.0,47.878712265147,48.941464006755,47.439641123074,47.489535571037,105613.0
2016-05-03,48.48,49.29,47.775,48.29,116454.0,0.0,1.0,48.377656744775,49.185946801773,47.674145028499,48.188057842516,116454.0
2016-05-02,48.49,49.2,47.63,49.05,101655.0,0.0,1.0,48.387635634368,49.09613679544,47.529451129407,48.946453451552,101655.0
2016-04-29,48.23,49.4,47.73,48.4,108774.0,0.0,1.0,48.128184504961,49.295714587292,47.629240025332,48.297825628035,108774.0
2016-04-28,48.74,49.61,48.36,48.43,112845.0,0.0,1.0,48.637107874182,49.505271268735,48.257910069664,48.327762296812,112845.0
2016-04-27,47.0,48.9233,45.95,48.78,345098.0,0.0,1.0,46.900781085075,48.820020920414,45.852997677855,48.677023432552,345098.0
2016-04-26,49.17,49.17,46.17,47.0,277252.0,0.0,1.0,49.066200126662,49.066200126662,46.072533248892,46.900781085075,277252.0
2016-04-25,46.93,47.16,45.62,46.0,94061.0,0.0,1.0,46.830928857927,47.060443318556,45.5236943213,45.902892125818,94061.0
2016-04-22,46.89,47.35,46.71,47.1,89055.0,0.0,1.0,46.791013299557,47.250042220815,46.61139328689,47.000569981001,89055.0
2016-04-21,46.89,47.46,46.66,46.73,82871.0,0.0,1.0,46.791013299557,47.359810006333,46.561498838928,46.631351066076,82871.0
2016-04-20,47.31,47.67,46.93,46.93,71218.0,0.0,1.0,47.210126662445,47.569366687777,46.830928857927,46.830928857927,71218.0
2016-04-19,47.55,48.24,47.39,47.56,81160.0,0.0,1.0,47.449620012666,48.138163394554,47.289957779185,47.459598902259,81160.0
2016-04-18,47.38,47.7,47.08,47.25,88957.0,0.0,1.0,47.279978889593,47.599303356555,46.980612201815,47.150253324889,88957.0
2016-04-15,46.95,47.89,46.8556,47.52,147973.0,0.0,1.0,46.850886637112,47.788902258814,46.756685919358,47.419683343889,147973.0
