Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2016-06-22,25.77,25.77,25.35,25.42,3420.0,0.0,1.0,25.77,25.77,25.35,25.42,3420.0
2016-06-21,25.67,26.31,25.61,25.77,23705.0,0.0,1.0,25.67,26.31,25.61,25.77,23705.0
2016-06-20,25.75,25.8,25.4,25.79,10376.0,0.0,1.0,25.75,25.8,25.4,25.79,10376.0
2016-06-17,24.91,25.84,24.91,25.84,69641.0,0.0,1.0,24.91,25.84,24.91,25.84,69641.0
2016-06-16,24.72,25.12,24.72,24.87,5665.0,0.0,1.0,24.72,25.12,24.72,24.87,5665.0
2016-06-15,24.75,25.24,24.75,24.96,6503.0,0.0,1.0,24.75,25.24,24.75,24.96,6503.0
2016-06-14,24.78,24.985,24.7,24.77,5498.0,0.0,1.0,24.78,24.985,24.7,24.77,5498.0
2016-06-13,25.02,25.13,24.75,24.77,7074.0,0.0,1.0,25.02,25.13,24.75,24.77,7074.0
2016-06-10,24.87,25.081,24.81,25.04,5513.0,0.0,1.0,24.87,25.081,24.81,25.04,5513.0
2016-06-09,25.5,25.62,24.9,25.05,9451.0,0.0,1.0,25.5,25.62,24.9,25.05,9451.0
2016-06-08,25.01,25.67,25.01,25.65,3982.0,0.0,1.0,25.01,25.67,25.01,25.65,3982.0
2016-06-07,25.4,25.55,24.86,25.07,13128.0,0.0,1.0,25.4,25.55,24.86,25.07,13128.0
2016-06-06,24.784,25.57,24.784,25.44,9550.0,0.0,1.0,24.784,25.57,24.784,25.44,9550.0
2016-06-03,24.95,25.28,24.71,24.93,12646.0,0.0,1.0,24.95,25.28,24.71,24.93,12646.0
2016-06-02,24.79,25.26,24.78,25.03,4722.0,0.0,1.0,24.79,25.26,24.78,25.03,4722.0
2016-06-01,25.02,25.4,24.788,25.06,4082.0,0.0,1.0,25.02,25.4,24.788,25.06,4082.0
2016-05-31,25.03,25.29,25.03,25.16,2810.0,0.0,1.0,25.03,25.29,25.03,25.16,2810.0
2016-05-27,24.7,25.18,24.7,25.18,6160.0,0.0,1.0,24.7,25.18,24.7,25.18,6160.0
2016-05-26,24.71,24.71,24.71,24.71,902.0,0.0,1.0,24.71,24.71,24.71,24.71,902.0
2016-05-25,24.8,24.97,24.78,24.97,4685.0,0.0,1.0,24.8,24.97,24.78,24.97,4685.0
2016-05-24,24.57,24.81,24.57,24.79,6980.0,0.0,1.0,24.57,24.81,24.57,24.79,6980.0
2016-05-23,24.4199,24.72,24.39,24.39,2604.0,0.0,1.0,24.4199,24.72,24.39,24.39,2604.0
2016-05-20,24.36,24.73,24.36,24.55,5999.0,0.0,1.0,24.36,24.73,24.36,24.55,5999.0
2016-05-19,24.5,24.52,24.21,24.21,6267.0,0.0,1.0,24.5,24.52,24.21,24.21,6267.0
2016-05-18,24.42,24.79,24.42,24.69,6430.0,0.0,1.0,24.42,24.79,24.42,24.69,6430.0
2016-05-17,25.0,25.4,24.4,24.4,10854.0,0.0,1.0,25.0,25.4,24.4,24.4,10854.0
2016-05-16,24.87,25.43,24.8001,25.19,4711.0,0.0,1.0,24.87,25.43,24.8001,25.19,4711.0
