Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2016-06-22,77.61,78.92,75.695,76.86,86495.0,0.0,1.0,77.61,78.92,75.695,76.86,86495.0
2016-06-21,76.0,77.03,75.5,76.84,76726.0,0.0,1.0,76.0,77.03,75.5,76.84,76726.0
2016-06-20,74.33,76.06,74.0,75.66,71172.0,0.0,1.0,74.33,76.06,74.0,75.66,71172.0
2016-06-17,76.41,76.41,73.5,74.14,142853.0,0.0,1.0,76.41,76.41,73.5,74.14,142853.0
2016-06-16,74.22,76.51,73.75,76.51,84321.0,0.0,1.0,74.22,76.51,73.75,76.51,84321.0
2016-06-15,75.8,76.49,74.35,74.42,33675.0,0.0,1.0,75.8,76.49,74.35,74.42,33675.0
2016-06-14,74.24,75.97,74.24,75.55,59516.0,0.0,1.0,74.24,75.97,74.24,75.55,59516.0
2016-06-13,73.31,74.9,73.13,74.3,43570.0,0.0,1.0,73.31,74.9,73.13,74.3,43570.0
2016-06-10,73.85,74.53,73.02,73.58,57503.0,0.0,1.0,73.85,74.53,73.02,73.58,57503.0
2016-06-09,74.1,74.5,73.47,74.16,51229.0,0.0,1.0,74.1,74.5,73.47,74.16,51229.0
2016-06-08,74.12,75.14,73.42,74.24,80661.0,0.0,1.0,74.12,75.14,73.42,74.24,80661.0
2016-06-07,74.02,75.05,73.79,73.98,47253.0,0.0,1.0,74.02,75.05,73.79,73.98,47253.0
2016-06-06,73.83,74.27,72.75,73.92,23638.0,0.0,1.0,73.83,74.27,72.75,73.92,23638.0
2016-06-03,72.88,74.015,72.88,73.54,37303.0,0.0,1.0,72.88,74.015,72.88,73.54,37303.0
2016-06-02,72.02,73.37,71.92,73.2,44782.0,0.0,1.0,72.02,73.37,71.92,73.2,44782.0
2016-06-01,74.07,74.19,71.94,72.39,58321.0,0.0,1.0,74.07,74.19,71.94,72.39,58321.0
2016-05-31,73.85,74.845,73.37,74.49,68727.0,0.0,1.0,73.85,74.845,73.37,74.49,68727.0
2016-05-27,73.44,74.21,73.0,73.85,35931.0,0.0,1.0,73.44,74.21,73.0,73.85,35931.0
2016-05-26,72.64,73.43,71.82,73.18,20966.0,0.0,1.0,72.64,73.43,71.82,73.18,20966.0
2016-05-25,72.68,72.8,71.88,72.32,32491.0,0.0,1.0,72.68,72.8,71.88,72.32,32491.0
2016-05-24,71.055,72.88,71.055,72.78,46459.0,0.0,1.0,71.055,72.88,71.055,72.78,46459.0
2016-05-23,71.67,72.7999,71.2,71.32,36987.0,0.0,1.0,71.67,72.7999,71.2,71.32,36987.0
2016-05-20,71.18,72.39,71.18,72.08,50449.0,0.0,1.0,71.18,72.39,71.18,72.08,50449.0
2016-05-19,71.91,72.71,70.56,70.98,46429.0,0.0,1.0,71.91,72.71,70.56,70.98,46429.0
2016-05-18,72.1,72.99,71.51,71.99,49686.0,0.0,1.0,72.1,72.99,71.51,71.99,49686.0
2016-05-17,73.32,74.21,71.94,72.3,82358.0,0.0,1.0,73.32,74.21,71.94,72.3,82358.0
2016-05-16,73.94,74.84,73.36,74.47,48772.0,0.0,1.0,73.94,74.84,73.36,74.47,48772.0
2016-05-13,74.0,74.53,73.53,73.7,50679.0,0.0,1.0,74.0,74.53,73.53,73.7,50679.0
2016-05-12,73.89,74.575,73.37,74.3,40747.0,0.0,1.0,73.89,74.575,73.37,74.3,40747.0
2016-05-11,74.42,75.0999,73.66,74.0,63581.0,0.0,1.0,74.42,75.0999,73.66,74.0,63581.0
2016-05-10,73.97,75.01,72.81,74.7,50042.0,0.0,1.0,73.97,75.01,72.81,74.7,50042.0
2016-05-09,72.71,74.25,72.71,73.88,47331.0,0.0,1.0,72.71,74.25,72.71,73.88,47331.0
2016-05-06,73.0,73.05,72.3001,73.04,57018.0,0.0,1.0,73.0,73.05,72.3001,73.04,57018.0
2016-05-05,73.88,74.13,73.09,73.25,67729.0,0.0,1.0,73.88,74.13,73.09,73.25,67729.0
2016-05-04,72.76,74.25,70.25,73.9,73615.0,0.0,1.0,72.76,74.25,70.25,73.9,73615.0
2016-05-03,73.6,74.07,71.99,73.01,89162.0,0.0,1.0,73.6,74.07,71.99,73.01,89162.0
2016-05-02,71.86,73.93,70.1801,73.77,87491.0,0.0,1.0,71.86,73.93,70.1801,73.77,87491.0
2016-04-29,72.25,73.0,71.0,71.91,82238.0,0.0,1.0,72.25,73.0,71.0,71.91,82238.0
2016-04-28,72.51,73.58,71.5,72.0,78333.0,0.0,1.0,72.51,73.58,71.5,72.0,78333.0
2016-04-27,72.56,73.09,71.21,72.57,71118.0,0.0,1.0,72.56,73.09,71.21,72.57,71118.0
2016-04-26,71.81,72.95,71.48,72.36,78578.0,0.0,1.0,71.81,72.95,71.48,72.36,78578.0
2016-04-25,71.56,72.26,71.36,71.65,56022.0,0.0,1.0,71.56,72.26,71.36,71.65,56022.0
2016-04-22,70.88,71.83,70.88,71.8,74423.0,0.0,1.0,70.88,71.83,70.88,71.8,74423.0
2016-04-21,72.0,72.21,70.94,70.94,85503.0,0.0,1.0,72.0,72.21,70.94,70.94,85503.0
2016-04-20,72.41,73.12,71.68,71.94,63075.0,0.0,1.0,72.41,73.12,71.68,71.94,63075.0
2016-04-19,72.11,72.82,71.5901,72.71,47280.0,0.0,1.0,72.11,72.82,71.5901,72.71,47280.0
2016-04-18,72.0,72.81,71.88,72.32,69827.0,0.0,1.0,72.0,72.81,71.88,72.32,69827.0
2016-04-15,71.89,72.75,71.18,72.5,91249.0,0.0,1.0,71.89,72.75,71.18,72.5,91249.0
2016-04-14,71.87,72.482,71.15,71.79,55146.0,0.0,1.0,71.87,72.482,71.15,71.79,55146.0
2016-04-13,71.76,73.171,70.975,71.74,87762.0,0.0,1.0,71.76,73.171,70.975,71.74,87762.0
2016-04-12,71.9,72.81,69.7101,71.59,64838.0,0.0,1.0,71.9,72.81,69.7101,71.59,64838.0
2016-04-11,73.72,74.94,71.81,72.08,107206.0,0.0,1.0,73.72,74.94,71.81,72.08,107206.0
2016-04-08,73.83,75.42,73.15,73.6,57925.0,0.0,1.0,73.83,75.42,73.15,73.6,57925.0
2016-04-07,74.15,74.25,72.99,73.4,100782.0,0.0,1.0,74.15,74.25,72.99,73.4,100782.0
2016-04-06,74.29,74.8,73.27,74.39,123441.0,0.0,1.0,74.29,74.8,73.27,74.39,123441.0
2016-04-05,76.08,76.4,74.495,74.79,139256.0,0.0,1.0,76.08,76.4,74.495,74.79,139256.0
2016-04-04,77.7,77.8,76.27,76.31,82999.0,0.0,1.0,77.7,77.8,76.27,76.31,82999.0
2016-04-01,75.47,77.8,74.795,77.8,118981.0,0.0,1.0,75.47,77.8,74.795,77.8,118981.0
2016-03-31,75.88,76.68,75.0701,75.83,101036.0,0.0,1.0,75.88,76.68,75.0701,75.83,101036.0
2016-03-30,75.31,76.9999,74.72,76.13,116154.0,0.0,1.0,75.31,76.9999,74.72,76.13,116154.0
2016-03-29,73.28,75.49,73.28,75.43,63695.0,0.32,1.0,73.28,75.49,73.28,75.43,63695.0
2016-03-28,73.37,74.47,73.13,73.61,97350.0,0.0,1.0,73.060054125413,74.155407260726,72.821067986799,73.299040264026,97350.0
2016-03-24,72.04,73.04,71.54,72.9,125943.0,0.0,1.0,71.735672607261,72.731448184819,71.237784818482,72.59203960396,125943.0
2016-03-23,71.95,73.0499,71.52,72.37,89753.0,0.0,1.0,71.646052805281,72.741306363036,71.217869306931,72.064278547855,89753.0
2016-03-22,72.14,73.485,71.6,72.18,66399.0,0.0,1.0,71.835250165017,73.174568316832,71.297531353135,71.875081188119,66399.0
2016-03-21,72.52,73.44,70.95,72.52,140281.0,0.0,1.0,72.213644884488,73.129758415842,70.650277227723,72.213644884488,140281.0
2016-03-18,74.1,74.58,71.85,72.68,225724.0,0.0,1.0,73.78697029703,74.264942574257,71.546475247525,72.372968976898,225724.0
2016-03-17,72.5,73.85,71.53,73.68,66024.0,0.0,1.0,72.193729372937,73.53802640264,71.227827062706,73.368744554455,66024.0
2016-03-16,72.56,74.02,72.392,72.81,55300.0,0.0,1.0,72.253475907591,73.707308250825,72.086185610561,72.50241980198,55300.0
2016-03-15,72.32,73.42,71.92,72.88,97688.0,0.0,1.0,72.014489768977,73.10984290429,71.616179537954,72.572124092409,97688.0
